Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,105.4495,105.5077,105.4495,105.5077,300,
11/17/2020 10:32:00 AM,105.5077,105.77,105.44,105.6,800,16
11/17/2020 10:33:00 AM,105.6,105.6,105.44,105.44,200,23
11/17/2020 10:34:00 AM,105.44,105.51,105.29,105.51,3100,34
11/17/2020 10:35:00 AM,105.51,105.51,105.51,105.51,400,39
11/17/2020 10:36:00 AM,105.51,106,105.51,106,700,44
11/17/2020 10:37:00 AM,106.1517,106.29,106.1517,106.29,900,48
11/17/2020 10:38:00 AM,106.26,106.29,106.2,106.2,1600,26
11/17/2020 10:39:00 AM,106.2,106.2,106.2,106.2,200,29
11/17/2020 10:40:00 AM,106.2,106.2,105.895,105.895,700,23
11/17/2020 10:41:00 AM,105.895,106,105.77,106,3200,37
11/17/2020 10:42:00 AM,106,106.15,105.77,106.0705,1500,41
11/17/2020 10:43:00 AM,106.0705,106.5,106.0705,106.5,1400,44
11/17/2020 10:44:00 AM,106.5,106.5,106.3127,106.3127,700,41
11/17/2020 10:45:00 AM,106.3127,106.6,106.3127,106.6,700,42
11/17/2020 10:46:00 AM,106.6,106.6,106.245,106.3,3100,19
11/17/2020 10:47:00 AM,106.3,106.46,106.3,106.45,1500,16
11/17/2020 10:48:00 AM,106.45,106.63,106.45,106.63,1000,15
11/17/2020 10:49:00 AM,106.63,106.75,106.455,106.75,1600,5
11/17/2020 10:50:00 AM,106.75,106.7683,106.635,106.635,500,5
11/17/2020 10:51:00 AM,106.633,106.64,106.633,106.6389,900,2
11/17/2020 10:52:00 AM,106.6389,106.98,106.54,106.54,3300,-22
11/17/2020 10:53:00 AM,106.54,106.54,106.54,106.54,100,-1
11/17/2020 10:54:00 AM,106.54,106.87,106.54,106.59,3500,21
11/17/2020 10:55:00 AM,106.59,106.65,106.49,106.5,1500,23
11/17/2020 10:56:00 AM,106.5,106.61,106.12,106.25,6200,-38
11/17/2020 10:57:00 AM,106.25,106.25,106.25,106.25,200,-49
11/17/2020 10:58:00 AM,106.25,106.25,106.03,106.03,900,-35
11/17/2020 10:59:00 AM,106.03,106.03,105.83,105.925,2800,-39
11/17/2020 11:00:00 AM,105.925,105.925,105.51,105.51,1400,-41
11/17/2020 11:01:00 AM,105.51,106.05,105.51,106,6500,31
11/17/2020 11:02:00 AM,106,106,105.95,105.985,900,47
11/17/2020 11:03:00 AM,105.985,105.985,105.65,105.65,1600,65
11/17/2020 11:04:00 AM,105.755,105.9,105.68,105.68,1500,61
11/17/2020 11:05:00 AM,105.68,105.87,105.68,105.87,600,43
11/17/2020 11:06:00 AM,105.89,106,105.8101,106,1000,17
11/17/2020 11:07:00 AM,106,106.01,105.84,105.84,900,36
11/17/2020 11:08:00 AM,105.84,106.025,105.84,106.025,300,22
11/17/2020 11:09:00 AM,105.96,106.16,105.96,106.13,1400,3
11/17/2020 11:10:00 AM,106.0939,106.13,106.0939,106.13,300,-14
11/17/2020 11:11:00 AM,106.13,106.13,105.93,105.93,300,4
11/17/2020 11:12:00 AM,105.93,106.1199,105.93,106.1199,400,26
11/17/2020 11:13:00 AM,106.1199,106.1199,105.92,105.995,1100,24
11/17/2020 11:14:00 AM,105.995,106.5,105.995,106.335,4000,45
11/17/2020 11:15:00 AM,106.335,106.5,106.335,106.5,300,49
11/17/2020 11:16:00 AM,106.5,106.5,106.5,106.5,200,52
11/17/2020 11:17:00 AM,106.5,106.5,106.5,106.5,400,26
11/17/2020 11:18:00 AM,106.5,106.5,106.49,106.49,400,35
11/17/2020 11:19:00 AM,106.49,106.49,106.37,106.45,900,41
11/17/2020 11:20:00 AM,106.45,106.52,106.44,106.51,1200,37
11/17/2020 11:21:00 AM,106.51,106.58,106.25,106.25,2500,22
11/17/2020 11:22:00 AM,106.25,106.25,106.125,106.125,400,30
11/17/2020 11:23:00 AM,106.125,106.1995,106.125,106.175,800,23
11/17/2020 11:24:00 AM,106.175,106.175,105.96,105.96,1700,25
11/17/2020 11:25:00 AM,105.96,105.96,105.51,105.55,2000,15
11/17/2020 11:26:00 AM,105.55,105.55,105.31,105.31,1200,11
11/17/2020 11:27:00 AM,105.31,105.47,105.1,105.47,500,-3
11/17/2020 11:28:00 AM,105.47,105.47,105.12,105.12,400,12
11/17/2020 11:29:00 AM,105.12,105.47,105.12,105.47,3400,39
11/17/2020 11:30:00 AM,105.47,105.47,105.22,105.305,900,18
11/17/2020 11:31:00 AM,105.305,105.362,105.16,105.362,800,20
11/17/2020 11:32:00 AM,105.362,105.49,105.355,105.43,2000,27
11/17/2020 11:33:00 AM,105.43,105.43,105.43,105.43,100,25
11/17/2020 11:34:00 AM,105.43,105.545,105.43,105.545,300,5
11/17/2020 11:35:00 AM,105.545,105.545,105.545,105.545,300,-10
11/17/2020 11:36:00 AM,105.49,105.55,105.49,105.55,800,-13
11/17/2020 11:37:00 AM,105.55,105.55,105.44,105.515,500,9
11/17/2020 11:38:00 AM,105.6034,105.64,105.6034,105.64,900,-1
11/17/2020 11:39:00 AM,105.76,105.91,105.76,105.91,500,-3
11/17/2020 11:40:00 AM,105.91,106.21,105.91,106.21,1400,9
11/17/2020 11:41:00 AM,106.21,106.21,106.12,106.12,200,35
11/17/2020 11:42:00 AM,106.12,106.12,106.12,106.12,100,48
11/17/2020 11:43:00 AM,106.12,106.4366,106.12,106.4366,1000,53
11/17/2020 11:44:00 AM,106.4366,106.4366,106.43,106.43,600,45
11/17/2020 11:45:00 AM,106.42,106.43,106.2101,106.335,2100,1
11/17/2020 11:46:00 AM,106.335,106.385,106.26,106.34,1900,10
11/17/2020 11:47:00 AM,106.34,106.75,106.34,106.75,600,7
11/17/2020 11:48:00 AM,106.75,106.75,106.57,106.57,3100,-37
11/17/2020 11:49:00 AM,106.475,106.545,106.475,106.515,1200,-36
11/17/2020 11:50:00 AM,106.3497,106.395,106.3497,106.395,2800,-49
11/17/2020 11:51:00 AM,106.395,106.5999,106.395,106.4433,1500,-36
11/17/2020 11:52:00 AM,106.509,106.5873,106.34,106.52,1000,-36
11/17/2020 11:53:00 AM,106.52,106.52,106.33,106.33,400,-32
11/17/2020 11:54:00 AM,106.33,106.5,106.33,106.5,400,-36
11/17/2020 11:55:00 AM,106.5,106.6,106.5,106.52,700,-37
11/17/2020 11:56:00 AM,106.52,106.55,106.44,106.55,1100,-41
11/17/2020 11:57:00 AM,106.55,106.64,106.55,106.55,300,-53
11/17/2020 11:58:00 AM,106.6,106.6,106.6,106.6,300,-62
11/17/2020 11:59:00 AM,106.6,106.62,106.6,106.62,400,-69
11/17/2020 12:00:00 PM,106.62,106.74,106.6,106.74,1500,-77
11/17/2020 12:01:00 PM,106.74,106.74,106.7369,106.7369,200,-43
11/17/2020 12:02:00 PM,106.7369,106.7369,106.45,106.48,2600,-67
11/17/2020 12:03:00 PM,106.48,106.48,106.4654,106.4654,600,-51
11/17/2020 12:04:00 PM,106.4654,106.4654,106.4654,106.4654,100,-35
11/17/2020 12:05:00 PM,106.4654,106.4654,106.4654,106.4654,100,-33
11/17/2020 12:06:00 PM,106.4654,106.4654,106.4654,106.4654,100,-11
11/17/2020 12:07:00 PM,106.4654,106.51,106.4,106.4,1000,-18
11/17/2020 12:08:00 PM,106.4,106.4,106.4,106.4,400,-20
11/17/2020 12:09:00 PM,106.4,106.53,106.4,106.52,1000,-26
11/17/2020 12:10:00 PM,106.52,106.6,106.5,106.6,5200,39
11/17/2020 12:11:00 PM,106.6,106.6,106.6,106.6,500,53
11/17/2020 12:12:00 PM,106.6,106.6172,106.6,106.6172,200,37
11/17/2020 12:13:00 PM,106.6172,106.64,106.6172,106.64,500,19
11/17/2020 12:14:00 PM,106.64,106.67,106.54,106.54,2300,9
11/17/2020 12:15:00 PM,106.54,106.68,106.54,106.6519,1600,23
11/17/2020 12:16:00 PM,106.6519,106.79,106.6519,106.79,800,8
11/17/2020 12:17:00 PM,106.79,106.79,106.79,106.79,200,-10
11/17/2020 12:18:00 PM,106.88,106.88,106.815,106.815,600,10
11/17/2020 12:19:00 PM,106.815,106.82,106.51,106.51,3000,-69
11/17/2020 12:20:00 PM,106.51,106.515,106.22,106.22,7800,-100
11/17/2020 12:21:00 PM,106.22,106.22,106.22,106.22,200,-100
11/17/2020 12:22:00 PM,106.22,106.35,106.22,106.325,1900,-100
11/17/2020 12:23:00 PM,106.325,106.325,106.25,106.25,700,-100
11/17/2020 12:24:00 PM,106.25,106.47,106.25,106.47,1100,-100
11/17/2020 12:25:00 PM,106.47,106.58,106.47,106.58,600,-100
11/17/2020 12:26:00 PM,106.58,106.775,106.58,106.775,1400,-100
11/17/2020 12:27:00 PM,106.775,106.87,106.775,106.85,700,-100
11/17/2020 12:28:00 PM,106.83,106.83,106.77,106.77,500,-100
11/17/2020 12:29:00 PM,106.77,106.87,106.77,106.87,700,-100
11/17/2020 12:30:00 PM,106.87,106.93,106.87,106.93,900,-100
11/17/2020 12:31:00 PM,106.93,106.93,106.85,106.9,1300,-100
11/17/2020 12:32:00 PM,106.9,106.9,106.85,106.85,300,-93
11/17/2020 12:33:00 PM,106.85,106.85,106.7903,106.7903,700,-75
11/17/2020 12:34:00 PM,106.8,106.95,106.8,106.95,2600,-55
11/17/2020 12:35:00 PM,106.95,106.95,106.95,106.95,200,-40
