Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,19.42,19.42,19.3863,19.3863,300,
11/17/2020 10:32:00 AM,19.35,19.35,19.3284,19.35,1100,-17
11/17/2020 10:33:00 AM,19.35,19.4,19.35,19.4,200,-19
11/17/2020 10:34:00 AM,19.39,19.46,19.39,19.46,400,-12
11/17/2020 10:35:00 AM,19.46,19.53,19.46,19.53,900,2
11/17/2020 10:36:00 AM,19.55,19.55,19.55,19.55,1300,16
11/17/2020 10:37:00 AM,19.55,19.57,19.5,19.57,4800,36
11/17/2020 10:38:00 AM,19.63,19.63,19.585,19.585,2800,42
11/17/2020 10:39:00 AM,19.585,19.585,19.55,19.55,2200,27
11/17/2020 10:40:00 AM,19.55,19.55,19.52,19.54,400,28
11/17/2020 10:41:00 AM,19.54,19.55,19.5,19.53,2900,12
11/17/2020 10:42:00 AM,19.55,19.56,19.55,19.55,2700,19
11/17/2020 10:43:00 AM,19.55,19.55,19.5,19.5,400,21
11/17/2020 10:44:00 AM,19.5,19.5,19.5,19.5,100,23
11/17/2020 10:45:00 AM,19.5,19.55,19.5,19.55,100,21
11/17/2020 10:46:00 AM,19.55,19.55,19.55,19.55,0,22
11/17/2020 10:47:00 AM,19.5275,19.6,19.5275,19.6,2800,30
11/17/2020 10:48:00 AM,19.6,19.6,19.585,19.585,200,51
11/17/2020 10:49:00 AM,19.585,19.6,19.58,19.58,4000,19
11/17/2020 10:50:00 AM,19.58,19.58,19.52,19.52,1300,37
11/17/2020 10:51:00 AM,19.52,19.52,19.52,19.52,0,54
11/17/2020 10:52:00 AM,19.5499,19.5499,19.5499,19.5499,1000,43
11/17/2020 10:53:00 AM,19.5499,19.55,19.5499,19.55,2000,15
11/17/2020 10:54:00 AM,19.55,19.55,19.55,19.55,0,4
11/17/2020 10:55:00 AM,19.55,19.55,19.55,19.55,0,11
11/17/2020 10:56:00 AM,19.5499,19.5499,19.45,19.45,300,19
11/17/2020 10:57:00 AM,19.45,19.45,19.45,19.45,200,37
11/17/2020 10:58:00 AM,19.45,19.45,19.39,19.39,700,33
11/17/2020 10:59:00 AM,19.39,19.39,19.33,19.33,600,30
11/17/2020 11:00:00 AM,19.33,19.33,19.3,19.3,1700,24
11/17/2020 11:01:00 AM,19.3,19.33,19.3,19.33,400,23
11/17/2020 11:02:00 AM,19.33,19.33,19.285,19.29,3500,-9
11/17/2020 11:03:00 AM,19.29,19.29,19.25,19.25,3400,-68
11/17/2020 11:04:00 AM,19.23,19.23,19.13,19.13,6200,-100
11/17/2020 11:05:00 AM,19.1101,19.2,19.1101,19.2,2800,-52
11/17/2020 11:06:00 AM,19.21,19.3,19.21,19.26,3800,-25
11/17/2020 11:07:00 AM,19.24,19.29,19.24,19.2886,800,-38
11/17/2020 11:08:00 AM,19.2861,19.3,19.23,19.2312,14800,-100
11/17/2020 11:09:00 AM,19.27,19.27,19.27,19.27,1000,-100
11/17/2020 11:10:00 AM,19.27,19.27,19.265,19.265,900,-100
11/17/2020 11:11:00 AM,19.265,19.28,19.26,19.26,200,-90
11/17/2020 11:12:00 AM,19.26,19.26,19.24,19.24,500,-89
11/17/2020 11:13:00 AM,19.24,19.24,19.2,19.2,400,-71
11/17/2020 11:14:00 AM,19.2,19.22,19.2,19.22,200,-99
11/17/2020 11:15:00 AM,19.22,19.22,19.16,19.19,600,-98
11/17/2020 11:16:00 AM,19.1998,19.1998,19.13,19.13,400,-87
11/17/2020 11:17:00 AM,19.13,19.13,19.13,19.13,0,-74
11/17/2020 11:18:00 AM,19.16,19.16,19.09,19.13,3900,-72
11/17/2020 11:19:00 AM,19.13,19.13,19.13,19.13,0,-71
11/17/2020 11:20:00 AM,19.13,19.185,19.13,19.185,400,-56
11/17/2020 11:21:00 AM,19.185,19.23,19.185,19.23,200,-89
11/17/2020 11:22:00 AM,19.24,19.24,19.24,19.24,400,-100
11/17/2020 11:23:00 AM,19.24,19.24,19.24,19.24,100,-100
11/17/2020 11:24:00 AM,19.24,19.2539,19.23,19.2539,46700,100
11/17/2020 11:25:00 AM,19.2539,19.2539,19.225,19.225,15000,100
11/17/2020 11:26:00 AM,19.225,19.225,19.225,19.225,0,95
11/17/2020 11:27:00 AM,19.225,19.24,19.225,19.24,2000,34
11/17/2020 11:28:00 AM,19.24,19.45,19.23,19.45,4200,4
11/17/2020 11:29:00 AM,19.45,19.45,19.45,19.45,100,-32
11/17/2020 11:30:00 AM,19.45,19.455,19.45,19.455,11300,35
11/17/2020 11:31:00 AM,19.49,19.49,19.45,19.45,200,54
11/17/2020 11:32:00 AM,19.4527,19.4527,19.4527,19.4527,200,29
11/17/2020 11:33:00 AM,19.4527,19.4527,19.44,19.45,400,33
11/17/2020 11:34:00 AM,19.45,19.45,19.45,19.45,0,43
11/17/2020 11:35:00 AM,19.45,19.45,19.42,19.42,600,82
11/17/2020 11:36:00 AM,19.42,19.42,19.42,19.42,0,97
