Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,13.4844,13.549,13.42,13.46,36800,
11/17/2020 10:32:00 AM,13.4635,13.47,13.3,13.44,68400,-14
11/17/2020 10:33:00 AM,13.425,13.44,13.35,13.3601,32600,-9
11/17/2020 10:34:00 AM,13.3601,13.48,13.35,13.46,41500,0
11/17/2020 10:35:00 AM,13.47,13.63,13.44,13.5701,74300,12
11/17/2020 10:36:00 AM,13.6291,13.8,13.57,13.63,246000,30
11/17/2020 10:37:00 AM,13.65,13.7308,13.5,13.57,81600,22
11/17/2020 10:38:00 AM,13.57,13.7,13.55,13.6754,79100,26
11/17/2020 10:39:00 AM,13.68,13.78,13.66,13.76,72000,29
11/17/2020 10:40:00 AM,13.76,13.92,13.74,13.9,145400,35
11/17/2020 10:41:00 AM,13.9,14.08,13.85,14.07,233500,42
11/17/2020 10:42:00 AM,14.07,14.25,14.03,14.13,256100,48
11/17/2020 10:43:00 AM,14.11,14.38,14.09,14.2602,280900,52
11/17/2020 10:44:00 AM,14.2602,14.49,14.2594,14.3201,317700,56
11/17/2020 10:45:00 AM,14.34,14.34,14.02,14.14,203600,43
11/17/2020 10:46:00 AM,14.14,14.3,14.06,14.159,147800,44
11/17/2020 10:47:00 AM,14.159,14.17,13.97,14,123100,47
11/17/2020 10:48:00 AM,14.03,14.0394,13.82,13.94,124800,41
11/17/2020 10:49:00 AM,13.94,13.99,13.83,13.9321,71300,40
11/17/2020 10:50:00 AM,13.9321,14.05,13.91,13.9777,103200,42
11/17/2020 10:51:00 AM,13.9777,13.9799,13.72,13.9414,99900,53
11/17/2020 10:52:00 AM,13.98,14.1,13.91,13.99,105300,42
11/17/2020 10:53:00 AM,13.96,14.04,13.92,13.93,60200,47
11/17/2020 10:54:00 AM,13.93,14.02,13.93,13.9803,48800,43
11/17/2020 10:55:00 AM,13.9803,14.1099,13.9803,14,84300,42
11/17/2020 10:56:00 AM,14.0011,14.25,14.0011,14.2337,164500,41
11/17/2020 10:57:00 AM,14.2337,14.34,14.11,14.3387,119200,34
11/17/2020 10:58:00 AM,14.3387,14.3598,14.2401,14.31,135700,23
11/17/2020 10:59:00 AM,14.3281,14.35,14.16,14.19,84700,15
11/17/2020 11:00:00 AM,14.19,14.3289,14.1701,14.32,99600,-1
11/17/2020 11:01:00 AM,14.32,14.33,14.22,14.2613,72200,11
11/17/2020 11:02:00 AM,14.2613,14.3,14.1,14.1276,52000,11
11/17/2020 11:03:00 AM,14.1276,14.2,14.03,14.07,75900,16
11/17/2020 11:04:00 AM,14.07,14.1,13.92,13.992,93300,18
11/17/2020 11:05:00 AM,13.9748,14.09,13.97,14.05,52900,10
11/17/2020 11:06:00 AM,14.053,14.14,13.97,14.1366,45800,4
11/17/2020 11:07:00 AM,14.1366,14.14,14.03,14.06,41200,11
11/17/2020 11:08:00 AM,14.06,14.14,14.05,14.1065,20600,0
11/17/2020 11:09:00 AM,14.1065,14.1187,14.06,14.06,35700,4
11/17/2020 11:10:00 AM,14.06,14.06,13.9202,14.0541,77700,6
11/17/2020 11:11:00 AM,14.0541,14.06,13.945,13.95,30100,10
11/17/2020 11:12:00 AM,13.95,13.97,13.85,13.95,62800,-4
11/17/2020 11:13:00 AM,13.95,13.97,13.84,13.855,33900,-17
11/17/2020 11:14:00 AM,13.855,13.87,13.6,13.71,134800,-20
11/17/2020 11:15:00 AM,13.71,13.76,13.6,13.73,66400,-9
11/17/2020 11:16:00 AM,13.73,13.79,13.65,13.6741,51800,-21
11/17/2020 11:17:00 AM,13.73,13.8399,13.72,13.8399,65400,-11
11/17/2020 11:18:00 AM,13.8399,13.84,13.75,13.8033,30400,-8
11/17/2020 11:19:00 AM,13.8033,13.88,13.8012,13.85,30700,-11
11/17/2020 11:20:00 AM,13.83,13.9,13.8201,13.87,32000,-10
11/17/2020 11:21:00 AM,13.87,13.97,13.87,13.92,37400,-13
11/17/2020 11:22:00 AM,13.9,13.92,13.79,13.8058,38600,-11
11/17/2020 11:23:00 AM,13.8058,13.8145,13.7,13.765,63100,-13
11/17/2020 11:24:00 AM,13.765,13.83,13.73,13.755,20400,-6
11/17/2020 11:25:00 AM,13.755,13.783,13.64,13.6852,40300,-6
11/17/2020 11:26:00 AM,13.6709,13.69,13.6698,13.67,47900,-3
11/17/2020 11:27:00 AM,13.68,13.7462,13.52,13.63,65700,-7
11/17/2020 11:28:00 AM,13.59,13.749,13.56,13.749,33900,-10
11/17/2020 11:29:00 AM,13.749,13.7899,13.71,13.74,48500,-10
11/17/2020 11:30:00 AM,13.74,13.8499,13.69,13.73,39900,-2
11/17/2020 11:31:00 AM,13.73,13.78,13.7134,13.76,12800,-12
11/17/2020 11:32:00 AM,13.76,13.79,13.6501,13.69,20500,-9
11/17/2020 11:33:00 AM,13.69,13.7399,13.65,13.6715,19700,-13
11/17/2020 11:34:00 AM,13.6729,13.6855,13.6,13.6,21600,-12
11/17/2020 11:35:00 AM,13.6,13.63,13.53,13.53,49100,-20
11/17/2020 11:36:00 AM,13.5358,13.65,13.53,13.63,48100,-13
11/17/2020 11:37:00 AM,13.63,13.65,13.6,13.615,22300,-20
11/17/2020 11:38:00 AM,13.615,13.77,13.61,13.7652,29500,-11
11/17/2020 11:39:00 AM,13.78,13.85,13.74,13.7468,46900,-11
11/17/2020 11:40:00 AM,13.7468,13.85,13.735,13.8,21900,-11
11/17/2020 11:41:00 AM,13.8,13.8367,13.77,13.7887,38800,-10
11/17/2020 11:42:00 AM,13.7887,13.79,13.77,13.775,13700,-7
11/17/2020 11:43:00 AM,13.77,13.8399,13.77,13.83,22400,-5
11/17/2020 11:44:00 AM,13.83,13.92,13.8101,13.91,30600,-5
11/17/2020 11:45:00 AM,13.9171,13.94,13.86,13.8929,25700,-3
11/17/2020 11:46:00 AM,13.8929,13.8999,13.85,13.8719,38100,-3
11/17/2020 11:47:00 AM,13.8719,13.94,13.85,13.8998,42800,4
11/17/2020 11:48:00 AM,13.8998,13.8998,13.85,13.86,25400,3
11/17/2020 11:49:00 AM,13.86,13.86,13.75,13.8035,23100,3
11/17/2020 11:50:00 AM,13.77,13.7967,13.74,13.7554,14200,5
11/17/2020 11:51:00 AM,13.7554,13.7803,13.67,13.69,23400,8
