Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,41.38,41.38,41.34,41.34,5700,
11/17/2020 10:32:00 AM,41.34,41.405,41.34,41.375,8900,14
11/17/2020 10:33:00 AM,41.375,41.39,41.375,41.39,1900,20
11/17/2020 10:34:00 AM,41.375,41.375,41.36,41.37,2500,17
11/17/2020 10:35:00 AM,41.37,41.38,41.36,41.38,3100,22
11/17/2020 10:36:00 AM,41.38,41.43,41.38,41.405,4000,28
11/17/2020 10:37:00 AM,41.4,41.43,41.4,41.415,2200,31
11/17/2020 10:38:00 AM,41.415,41.42,41.4,41.405,8000,11
11/17/2020 10:39:00 AM,41.405,41.465,41.4,41.465,27700,33
11/17/2020 10:40:00 AM,41.465,41.56,41.465,41.56,7000,37
11/17/2020 10:41:00 AM,41.56,41.58,41.555,41.58,2500,38
11/17/2020 10:42:00 AM,41.555,41.57,41.52,41.56,14100,18
11/17/2020 10:43:00 AM,41.56,41.62,41.56,41.62,7100,21
11/17/2020 10:44:00 AM,41.63,41.68,41.61,41.68,10700,26
11/17/2020 10:45:00 AM,41.665,41.7,41.665,41.68,2700,27
11/17/2020 10:46:00 AM,41.67,41.68,41.635,41.66,24700,1
11/17/2020 10:47:00 AM,41.65,41.67,41.6,41.6125,30100,-97
11/17/2020 10:48:00 AM,41.61,41.62,41.51,41.52999,20400,-99
11/17/2020 10:49:00 AM,41.54,41.56,41.49,41.49,24000,-97
11/17/2020 10:50:00 AM,41.5,41.54,41.4993,41.515,18900,-98
11/17/2020 10:51:00 AM,41.5,41.63,41.485,41.63,7600,-98
11/17/2020 10:52:00 AM,41.63,41.68,41.63,41.68,2200,-100
11/17/2020 10:53:00 AM,41.68,41.75,41.68,41.715,2400,-100
11/17/2020 10:54:00 AM,41.715,41.79,41.715,41.76,5500,-100
11/17/2020 10:55:00 AM,41.79,41.82,41.7701,41.81,6500,-100
11/17/2020 10:56:00 AM,41.81,41.84,41.81,41.84,3800,-100
11/17/2020 10:57:00 AM,41.82,41.83,41.815,41.815,2000,-100
11/17/2020 10:58:00 AM,41.815,41.84,41.815,41.84,2200,-100
11/17/2020 10:59:00 AM,41.825,41.84,41.82,41.82,5100,-100
11/17/2020 11:00:00 AM,41.82,41.91,41.82,41.885,15000,-100
11/17/2020 11:01:00 AM,41.9,41.91,41.885,41.91,3700,-100
11/17/2020 11:02:00 AM,41.91,41.94,41.9,41.915,5900,-90
11/17/2020 11:03:00 AM,41.915,41.93,41.9,41.915,5400,-38
11/17/2020 11:04:00 AM,41.915,41.92,41.75,41.7625,15500,-36
11/17/2020 11:05:00 AM,41.765,41.81,41.76,41.795,4200,9
11/17/2020 11:06:00 AM,41.795,41.81,41.795,41.795,1800,-8
11/17/2020 11:07:00 AM,41.795,41.89,41.795,41.89,8900,-2
11/17/2020 11:08:00 AM,41.885,41.94,41.885,41.94,3500,0
11/17/2020 11:09:00 AM,41.925,41.96,41.925,41.96,5400,3
11/17/2020 11:10:00 AM,41.96,41.97,41.92,41.935,8800,-21
11/17/2020 11:11:00 AM,41.935,41.935,41.92,41.92,7800,-26
11/17/2020 11:12:00 AM,41.92,41.92,41.88,41.915,5600,-20
11/17/2020 11:13:00 AM,41.915,41.98,41.915,41.975,3300,-33
11/17/2020 11:14:00 AM,41.99,41.99,41.97,41.97,500,-12
11/17/2020 11:15:00 AM,41.97,42.06,41.965,42.06,10100,-10
11/17/2020 11:16:00 AM,42.06,42.14,42.04,42.11,4800,-20
11/17/2020 11:17:00 AM,42.13,42.18,42.115,42.15,3700,-22
11/17/2020 11:18:00 AM,42.15,42.17,42.07,42.11,19000,-49
11/17/2020 11:19:00 AM,42.11,42.17,42.11,42.155,2400,-54
11/17/2020 11:20:00 AM,42.155,42.19,42.15,42.17,6400,-42
11/17/2020 11:21:00 AM,42.17,42.195,42.15,42.195,8800,-35
11/17/2020 11:22:00 AM,42.195,42.2,42.17,42.19,7200,-31
11/17/2020 11:23:00 AM,42.19,42.19,42.185,42.185,1400,-22
11/17/2020 11:24:00 AM,42.185,42.2,42.17,42.2,5900,-19
11/17/2020 11:25:00 AM,42.2,42.29,42.2,42.26,7800,-14
11/17/2020 11:26:00 AM,42.26,42.28,42.24,42.24,7200,-13
11/17/2020 11:27:00 AM,42.26,42.26,42.22,42.25,7000,-9
11/17/2020 11:28:00 AM,42.25,42.3,42.23,42.3,16000,2
11/17/2020 11:29:00 AM,42.3,42.34,42.3,42.34,7200,4
11/17/2020 11:30:00 AM,42.34,42.41,42.34,42.39,7700,7
11/17/2020 11:31:00 AM,42.39,42.41,42.38,42.39,3700,0
11/17/2020 11:32:00 AM,42.39,42.41,42.35,42.4,7400,5
11/17/2020 11:33:00 AM,42.4,42.425,42.4,42.42,2600,6
11/17/2020 11:34:00 AM,42.415,42.43,42.38,42.4,4200,36
11/17/2020 11:35:00 AM,42.4,42.4,42.36,42.365,4200,37
11/17/2020 11:36:00 AM,42.36,42.395,42.35,42.36,13700,17
11/17/2020 11:37:00 AM,42.37,42.375,42.34,42.36,8700,14
11/17/2020 11:38:00 AM,42.36,42.37,42.36,42.36,2300,15
11/17/2020 11:39:00 AM,42.36,42.365,42.35,42.365,4300,-1
11/17/2020 11:40:00 AM,42.365,42.38,42.36,42.365,5600,-1
11/17/2020 11:41:00 AM,42.365,42.365,42.35,42.355,1200,16
11/17/2020 11:42:00 AM,42.355,42.37,42.34,42.36,16800,40
11/17/2020 11:43:00 AM,42.36,42.36,42.355,42.355,600,57
11/17/2020 11:44:00 AM,42.355,42.355,42.35,42.355,8600,43
11/17/2020 11:45:00 AM,42.355,42.375,42.355,42.375,3300,35
11/17/2020 11:46:00 AM,42.39,42.39,42.35,42.36,19200,-4
11/17/2020 11:47:00 AM,42.375,42.375,42.3529,42.355,3200,3
11/17/2020 11:48:00 AM,42.375,42.38,42.36,42.37,3800,-6
11/17/2020 11:49:00 AM,42.37,42.4185,42.36,42.41,5900,1
11/17/2020 11:50:00 AM,42.41,42.41,42.39,42.39,3400,3
11/17/2020 11:51:00 AM,42.39,42.39,42.36,42.375,1200,11
11/17/2020 11:52:00 AM,42.375,42.375,42.37,42.37,800,34
11/17/2020 11:53:00 AM,42.37,42.37,42.345,42.36,21400,2
11/17/2020 11:54:00 AM,42.36,42.4,42.35,42.38,9300,8
11/17/2020 11:55:00 AM,42.38,42.425,42.38,42.425,1500,-1
11/17/2020 11:56:00 AM,42.425,42.43,42.41,42.43,1800,-11
11/17/2020 11:57:00 AM,42.43,42.43,42.39,42.41,7700,-22
11/17/2020 11:58:00 AM,42.41,42.41,42.405,42.405,1100,-31
11/17/2020 11:59:00 AM,42.42,42.445,42.4,42.43,7600,-30
11/17/2020 12:00:00 PM,42.44,42.44,42.42,42.42,2700,-24
11/17/2020 12:01:00 PM,42.42,42.43,42.41,42.42,3600,-21
11/17/2020 12:02:00 PM,42.42,42.42,42.35,42.355,6200,-4
11/17/2020 12:03:00 PM,42.35,42.385,42.35,42.36,4500,-9
11/17/2020 12:04:00 PM,42.36,42.36,42.35,42.355,3600,-4
