Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,30.64,30.75,30.64,30.75,14200,
11/17/2020 10:32:00 AM,30.715,30.8,30.715,30.78,4600,5
11/17/2020 10:33:00 AM,30.77,30.785,30.73,30.75,10300,15
11/17/2020 10:34:00 AM,30.76,30.85,30.73,30.85,14000,24
11/17/2020 10:35:00 AM,30.85,30.935,30.83,30.92,20000,32
11/17/2020 10:36:00 AM,30.91,30.915,30.87,30.87,5700,30
11/17/2020 10:37:00 AM,30.9,30.97,30.9,30.97,8200,34
11/17/2020 10:38:00 AM,30.97,30.98,30.94,30.98,24800,41
11/17/2020 10:39:00 AM,30.99,30.995,30.93,30.93,10300,34
11/17/2020 10:40:00 AM,30.94,30.97,30.92,30.95,11700,37
11/17/2020 10:41:00 AM,30.95,30.99,30.95,30.975,9700,40
11/17/2020 10:42:00 AM,30.975,31,30.975,30.99,57200,49
11/17/2020 10:43:00 AM,30.99,31.17,30.99,31.12,39100,54
11/17/2020 10:44:00 AM,31.12,31.14,31.07,31.09,10700,50
11/17/2020 10:45:00 AM,31.09,31.09,31.01,31.0411,5200,51
11/17/2020 10:46:00 AM,31.06,31.06,31.0101,31.02,9200,50
11/17/2020 10:47:00 AM,31.03,31.08,31,31.015,8200,88
11/17/2020 10:48:00 AM,31.02,31.03,30.98,31.03,12600,89
11/17/2020 10:49:00 AM,31.03,31.03,30.97,30.97,10500,91
11/17/2020 10:50:00 AM,30.97,31.01,30.96,31.01,11900,88
11/17/2020 10:51:00 AM,31.005,31.0899,31,31.025,14500,82
11/17/2020 10:52:00 AM,31.025,31.07,31.02,31.04,21600,78
11/17/2020 10:53:00 AM,31.02,31.04,31,31.035,10800,86
11/17/2020 10:54:00 AM,31.02,31.045,31.02,31.03,6400,88
11/17/2020 10:55:00 AM,31.0301,31.12,31.03,31.12,9900,79
11/17/2020 10:56:00 AM,31.12,31.15,31.11,31.115,8500,88
11/17/2020 10:57:00 AM,31.1,31.22,31.08,31.19,23300,94
11/17/2020 10:58:00 AM,31.19,31.25,31.17,31.25,14200,63
11/17/2020 10:59:00 AM,31.2275,31.25,31.21,31.23,11600,45
11/17/2020 11:00:00 AM,31.25,31.25,31.18,31.22,10600,45
11/17/2020 11:01:00 AM,31.21,31.24,31.15,31.16,14500,38
11/17/2020 11:02:00 AM,31.16,31.21,31.155,31.18,6800,29
11/17/2020 11:03:00 AM,31.17,31.23,31.15,31.23,13500,26
11/17/2020 11:04:00 AM,31.21,31.22,31.19,31.2,4600,33
11/17/2020 11:05:00 AM,31.2,31.25,31.2,31.24,10700,32
11/17/2020 11:06:00 AM,31.24,31.32,31.23,31.26,18400,36
11/17/2020 11:07:00 AM,31.27,31.2999,31.24,31.28,4900,28
11/17/2020 11:08:00 AM,31.28,31.3,31.26,31.27,6700,26
11/17/2020 11:09:00 AM,31.27,31.28,31.22,31.22,7000,29
11/17/2020 11:10:00 AM,31.2486,31.26,31.21,31.23,16100,31
11/17/2020 11:11:00 AM,31.23,31.34,31.23,31.34,22600,42
11/17/2020 11:12:00 AM,31.34,31.45,31.32,31.4,30100,52
11/17/2020 11:13:00 AM,31.4,31.41,31.355,31.355,9900,48
11/17/2020 11:14:00 AM,31.355,31.4,31.28,31.32,23900,33
11/17/2020 11:15:00 AM,31.345,31.38,31.31,31.38,2200,20
11/17/2020 11:16:00 AM,31.37,31.41,31.35,31.3525,9400,22
11/17/2020 11:17:00 AM,31.3525,31.41,31.34,31.41,13000,25
11/17/2020 11:18:00 AM,31.42,31.43,31.4,31.41,9000,29
11/17/2020 11:19:00 AM,31.4,31.42,31.38,31.4,3800,39
11/17/2020 11:20:00 AM,31.4,31.465,31.4,31.45,10500,31
11/17/2020 11:21:00 AM,31.45,31.53,31.45,31.53,42600,58
11/17/2020 11:22:00 AM,31.53,31.62,31.53,31.61,13000,53
11/17/2020 11:23:00 AM,31.62,31.62,31.55,31.6,10600,63
11/17/2020 11:24:00 AM,31.58,31.62,31.57,31.62,14400,54
11/17/2020 11:25:00 AM,31.62,31.66,31.62,31.64,10000,43
11/17/2020 11:26:00 AM,31.64,31.65,31.58,31.63,9400,48
11/17/2020 11:27:00 AM,31.6,31.64,31.58,31.62,16100,37
11/17/2020 11:28:00 AM,31.64,31.67,31.6,31.65,11300,21
11/17/2020 11:29:00 AM,31.65,31.71,31.65,31.675,9200,15
11/17/2020 11:30:00 AM,31.675,31.77,31.675,31.74,11700,27
11/17/2020 11:31:00 AM,31.755,31.77,31.725,31.77,4500,26
11/17/2020 11:32:00 AM,31.77,31.79,31.73,31.77,17400,30
11/17/2020 11:33:00 AM,31.775,31.7799,31.73,31.7799,16600,34
11/17/2020 11:34:00 AM,31.755,31.835,31.73,31.83,15200,40
11/17/2020 11:35:00 AM,31.815,31.85,31.79,31.85,18400,51
11/17/2020 11:36:00 AM,31.85,31.91,31.83,31.91,20200,57
11/17/2020 11:37:00 AM,31.9,31.91,31.86,31.91,21500,38
11/17/2020 11:38:00 AM,31.93,32,31.93,31.995,141600,100
11/17/2020 11:39:00 AM,32,32.08,31.99,32.04,64300,100
11/17/2020 11:40:00 AM,32.04,32.06,32,32.04,14100,100
11/17/2020 11:41:00 AM,32.04,32.04,31.87,31.87,27100,100
11/17/2020 11:42:00 AM,31.86,31.9,31.82,31.8581,18000,100
11/17/2020 11:43:00 AM,31.8581,31.8581,31.81,31.85,5200,100
11/17/2020 11:44:00 AM,31.84,31.84,31.73,31.75,13300,100
11/17/2020 11:45:00 AM,31.75,31.755,31.7,31.74,4900,100
11/17/2020 11:46:00 AM,31.74,31.82,31.72,31.82,8200,100
11/17/2020 11:47:00 AM,31.805,31.8099,31.76,31.76,12200,100
11/17/2020 11:48:00 AM,31.76,31.81,31.76,31.81,7000,100
11/17/2020 11:49:00 AM,31.825,31.9,31.825,31.84,10400,100
11/17/2020 11:50:00 AM,31.84,31.86,31.81,31.85,8600,100
11/17/2020 11:51:00 AM,31.85,31.85,31.78,31.8,20000,100
11/17/2020 11:52:00 AM,31.81,31.82,31.8,31.8,7100,100
11/17/2020 11:53:00 AM,31.8,31.8,31.74,31.77,14800,100
11/17/2020 11:54:00 AM,31.76,31.77,31.74,31.74,6000,27
11/17/2020 11:55:00 AM,31.755,31.7775,31.6925,31.715,10900,-31
11/17/2020 11:56:00 AM,31.715,31.74,31.6975,31.74,9800,-27
11/17/2020 11:57:00 AM,31.74,31.77,31.73,31.748,10200,-17
11/17/2020 11:58:00 AM,31.75,31.75,31.7,31.735,14200,-16
11/17/2020 11:59:00 AM,31.735,31.77,31.735,31.765,11400,-17
11/17/2020 12:00:00 PM,31.78,31.87,31.78,31.845,36600,9
11/17/2020 12:01:00 PM,31.84,31.87,31.84,31.8434,6700,10
11/17/2020 12:02:00 PM,31.84,31.8499,31.79,31.8499,4700,6
11/17/2020 12:03:00 PM,31.8458,31.875,31.82,31.87,10600,4
11/17/2020 12:04:00 PM,31.8609,31.89,31.8609,31.875,7600,3
11/17/2020 12:05:00 PM,31.86,31.87,31.84,31.865,8300,9
11/17/2020 12:06:00 PM,31.87,31.94,31.87,31.94,8300,7
11/17/2020 12:07:00 PM,31.93,31.965,31.9226,31.94,8900,15
11/17/2020 12:08:00 PM,31.94,31.945,31.9,31.9,5500,21
11/17/2020 12:09:00 PM,31.915,31.97,31.915,31.945,15500,28
11/17/2020 12:10:00 PM,31.945,31.945,31.8502,31.86,7800,27
11/17/2020 12:11:00 PM,31.86,31.89,31.83,31.86,14600,30
11/17/2020 12:12:00 PM,31.86,31.87,31.85,31.85,2400,39
11/17/2020 12:13:00 PM,31.85,31.865,31.8279,31.865,3500,32
11/17/2020 12:14:00 PM,31.865,31.945,31.86,31.945,7700,37
11/17/2020 12:15:00 PM,31.9778,31.9778,31.88,31.9,22700,13
11/17/2020 12:16:00 PM,31.9,31.935,31.89,31.8999,11000,-9
11/17/2020 12:17:00 PM,31.89,31.89,31.845,31.85,8200,-9
11/17/2020 12:18:00 PM,31.855,31.86,31.84,31.85,8100,-6
