Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,33.4,33.4,33.3001,33.3001,3700,
11/17/2020 10:32:00 AM,33.34,33.39,33.34,33.39,2100,8
11/17/2020 10:33:00 AM,33.39,33.44,33.39,33.4177,3200,18
11/17/2020 10:34:00 AM,33.4177,33.4177,33.38,33.4,5100,-1
11/17/2020 10:35:00 AM,33.4,33.415,33.3808,33.3808,4900,-12
11/17/2020 10:36:00 AM,33.3808,33.39,33.32,33.32,3800,-19
11/17/2020 10:37:00 AM,33.35,33.35,33.335,33.34,1700,-18
11/17/2020 10:38:00 AM,33.34,33.34,33.2001,33.22,4300,-24
11/17/2020 10:39:00 AM,33.2,33.22,33.16,33.165,4300,-30
11/17/2020 10:40:00 AM,33.165,33.2325,33.165,33.2177,9600,-8
11/17/2020 10:41:00 AM,33.2177,33.235,33.2168,33.235,1900,-7
11/17/2020 10:42:00 AM,33.235,33.26,33.235,33.26,1800,-7
11/17/2020 10:43:00 AM,33.26,33.29,33.26,33.28,2900,-5
11/17/2020 10:44:00 AM,33.29,33.29,33.24,33.26,5700,-12
11/17/2020 10:45:00 AM,33.26,33.28,33.26,33.28,600,-14
11/17/2020 10:46:00 AM,33.28,33.33,33.24,33.32,4600,-9
11/17/2020 10:47:00 AM,33.325,33.33,33.3018,33.305,2200,-30
11/17/2020 10:48:00 AM,33.3,33.33,33.3,33.33,1500,-34
11/17/2020 10:49:00 AM,33.33,33.33,33.325,33.325,200,-20
11/17/2020 10:50:00 AM,33.32,33.35,33.295,33.34,4600,-8
11/17/2020 10:51:00 AM,33.33,33.375,33.33,33.36,3200,0
11/17/2020 10:52:00 AM,33.375,33.44,33.375,33.395,11400,22
11/17/2020 10:53:00 AM,33.395,33.4,33.345,33.4,3200,27
11/17/2020 10:54:00 AM,33.43,33.44,33.42,33.44,1300,43
11/17/2020 10:55:00 AM,33.44,33.44,33.42,33.43,2500,45
11/17/2020 10:56:00 AM,33.44,33.44,33.415,33.43,1400,34
11/17/2020 10:57:00 AM,33.42,33.4376,33.42,33.4376,2100,35
11/17/2020 10:58:00 AM,33.4376,33.45,33.4376,33.445,2100,35
11/17/2020 10:59:00 AM,33.445,33.445,33.445,33.445,400,35
11/17/2020 11:00:00 AM,33.445,33.48,33.42,33.42,8200,1
11/17/2020 11:01:00 AM,33.41,33.43,33.395,33.395,1500,17
11/17/2020 11:02:00 AM,33.395,33.395,33.36,33.38,2100,20
11/17/2020 11:03:00 AM,33.38,33.44,33.375,33.44,2600,16
11/17/2020 11:04:00 AM,33.43,33.47001,33.43,33.47001,3500,18
11/17/2020 11:05:00 AM,33.47,33.47,33.43,33.44,3500,2
11/17/2020 11:06:00 AM,33.45,33.49,33.45,33.48,2600,-2
11/17/2020 11:07:00 AM,33.48,33.5604,33.48,33.5604,3100,-5
11/17/2020 11:08:00 AM,33.5604,33.57,33.53,33.55,8100,-53
11/17/2020 11:09:00 AM,33.55,33.58,33.55,33.57,1300,-60
11/17/2020 11:10:00 AM,33.56,33.58,33.55,33.55,11200,-86
11/17/2020 11:11:00 AM,33.57,33.57,33.54,33.54,1600,-79
11/17/2020 11:12:00 AM,33.54,33.57,33.54,33.57,2900,-77
11/17/2020 11:13:00 AM,33.57,33.58,33.545,33.545,8700,-86
11/17/2020 11:14:00 AM,33.54,33.54,33.51,33.52,3700,-79
11/17/2020 11:15:00 AM,33.52,33.52,33.47,33.485,3300,-71
11/17/2020 11:16:00 AM,33.485,33.53,33.485,33.53,1400,-70
11/17/2020 11:17:00 AM,33.53,33.57,33.53,33.57,3000,-79
11/17/2020 11:18:00 AM,33.575,33.61,33.5736,33.59,3900,-84
11/17/2020 11:19:00 AM,33.59,33.64,33.57,33.625,3100,-80
11/17/2020 11:20:00 AM,33.625,33.63,33.62,33.62,1000,-66
11/17/2020 11:21:00 AM,33.62,33.64,33.62,33.64,5500,-60
11/17/2020 11:22:00 AM,33.645,33.645,33.62,33.62,6900,-62
11/17/2020 11:23:00 AM,33.62,33.645,33.62,33.63,3100,-64
11/17/2020 11:24:00 AM,33.64,33.66,33.58,33.59,9000,-70
11/17/2020 11:25:00 AM,33.59,33.65,33.59,33.64,4900,-55
11/17/2020 11:26:00 AM,33.64,33.64,33.6,33.6,4100,-37
11/17/2020 11:27:00 AM,33.615,33.7,33.615,33.7,6900,-34
11/17/2020 11:28:00 AM,33.71,33.76,33.71,33.75,3100,-33
11/17/2020 11:29:00 AM,33.75,33.76,33.72,33.74,7700,-34
11/17/2020 11:30:00 AM,33.756,33.8,33.71,33.8,6100,-33
11/17/2020 11:31:00 AM,33.785,33.815,33.76,33.76,6100,-42
11/17/2020 11:32:00 AM,33.76,33.8,33.76,33.8,1400,-46
11/17/2020 11:33:00 AM,33.8,33.8042,33.77,33.77,2900,-31
11/17/2020 11:34:00 AM,33.7595,33.76,33.74,33.75,4900,-28
11/17/2020 11:35:00 AM,33.75,33.75,33.68999,33.68999,8200,-33
11/17/2020 11:36:00 AM,33.68,33.71,33.65,33.65,26900,-100
11/17/2020 11:37:00 AM,33.66,33.72,33.65,33.72,3200,-100
11/17/2020 11:38:00 AM,33.74,33.83,33.74,33.81,18300,-64
11/17/2020 11:39:00 AM,33.81,33.8199,33.8,33.8,3600,-39
11/17/2020 11:40:00 AM,33.8,33.82,33.76,33.76,5200,-28
11/17/2020 11:41:00 AM,33.76,33.76,33.74,33.74,1200,-8
11/17/2020 11:42:00 AM,33.74,33.74,33.72,33.73,2700,0
11/17/2020 11:43:00 AM,33.73,33.745,33.73,33.74,2500,-19
11/17/2020 11:44:00 AM,33.74,33.78,33.74,33.78,2500,-28
11/17/2020 11:45:00 AM,33.78,33.81,33.7743,33.8,4700,-28
11/17/2020 11:46:00 AM,33.8,33.83,33.79,33.83,9900,-13
11/17/2020 11:47:00 AM,33.83,33.835,33.78,33.8,6300,-15
11/17/2020 11:48:00 AM,33.805,33.805,33.78,33.78,4000,8
11/17/2020 11:49:00 AM,33.78999,33.87999,33.78999,33.87,5300,-4
11/17/2020 11:50:00 AM,33.87,33.98999,33.87,33.91999,58900,100
11/17/2020 11:51:00 AM,33.93,34.04,33.93,34,84100,100
11/17/2020 11:52:00 AM,34.0045,34.0045,33.9,33.9,13100,100
11/17/2020 11:53:00 AM,33.9,33.905,33.83,33.83,6100,100
11/17/2020 11:54:00 AM,33.85,33.85,33.8,33.84,4100,100
11/17/2020 11:55:00 AM,33.845,33.86,33.84,33.85,6800,100
11/17/2020 11:56:00 AM,33.85,33.8871,33.85,33.8871,1700,100
11/17/2020 11:57:00 AM,33.8899,33.8899,33.87,33.87,4600,100
11/17/2020 11:58:00 AM,33.87,33.91,33.87,33.905,2100,100
11/17/2020 11:59:00 AM,33.905,33.905,33.89,33.9,1300,100
11/17/2020 12:00:00 PM,33.9,33.905,33.9,33.905,1200,100
11/17/2020 12:01:00 PM,33.905,33.95,33.905,33.93,8300,100
11/17/2020 12:02:00 PM,33.935,33.94,33.92,33.94,4200,100
11/17/2020 12:03:00 PM,33.94,33.94,33.87,33.87,7200,100
11/17/2020 12:04:00 PM,33.87,33.879,33.84,33.84,18500,91
11/17/2020 12:05:00 PM,33.845,33.87,33.84,33.85,4300,80
11/17/2020 12:06:00 PM,33.85,34.04,33.85,34.03,45300,77
11/17/2020 12:07:00 PM,34.03,34.03,33.99,33.99,5600,20
11/17/2020 12:08:00 PM,33.99,34.07,33.985,34.07,6000,25
11/17/2020 12:09:00 PM,34.07,34.14,34.065,34.09,16800,31
11/17/2020 12:10:00 PM,34.098,34.135,34.0608,34.07,15000,19
11/17/2020 12:11:00 PM,34.075,34.08,34.06,34.07,5000,26
11/17/2020 12:12:00 PM,34.07,34.1,34.07,34.09,3900,20
11/17/2020 12:13:00 PM,34.09,34.14,34.08,34.14,5100,3
11/17/2020 12:14:00 PM,34.14,34.1466,34.14,34.1466,400,-5
11/17/2020 12:15:00 PM,34.1466,34.195,34.12,34.195,18100,2
11/17/2020 12:16:00 PM,34.195,34.21,34.14,34.14,4700,17
11/17/2020 12:17:00 PM,34.14,34.15,34.09,34.1,4200,41
11/17/2020 12:18:00 PM,34.1065,34.18,34.1065,34.165,4100,31
11/17/2020 12:19:00 PM,34.165,34.17,34.165,34.17,700,12
11/17/2020 12:20:00 PM,34.17,34.18,34.16,34.17,2600,48
11/17/2020 12:21:00 PM,34.17,34.23,34.17,34.225,6800,45
11/17/2020 12:22:00 PM,34.225,34.235,34.17,34.18,6300,-4
11/17/2020 12:23:00 PM,34.18,34.1872,34.1101,34.1383,13800,-29
11/17/2020 12:24:00 PM,34.13,34.13,34.1,34.11,3900,-17
11/17/2020 12:25:00 PM,34.11,34.13,34.07,34.11,24000,-33
11/17/2020 12:26:00 PM,34.11,34.1152,34.1,34.1,4000,-8
11/17/2020 12:27:00 PM,34.09,34.09,34.07,34.09,5800,-10
11/17/2020 12:28:00 PM,34.09,34.1,34.08,34.1,9000,3
11/17/2020 12:29:00 PM,34.11,34.115,34.09,34.1,8600,8
11/17/2020 12:30:00 PM,34.11,34.15,34.11,34.14,6900,19
11/17/2020 12:31:00 PM,34.13,34.14,34.09,34.1,5300,-4
11/17/2020 12:32:00 PM,34.1,34.1,34.05,34.06,3100,1
11/17/2020 12:33:00 PM,34.06,34.11,34.06,34.1,4500,-6
11/17/2020 12:34:00 PM,34.1064,34.11,34.09,34.09,6000,-2
11/17/2020 12:35:00 PM,34.09,34.09,34.075,34.075,2300,20
11/17/2020 12:36:00 PM,34.085,34.085,34.085,34.085,900,0
11/17/2020 12:37:00 PM,34.085,34.15,34.085,34.14,5400,-4
11/17/2020 12:38:00 PM,34.14,34.14,34.14,34.14,0,-2
11/17/2020 12:39:00 PM,34.17,34.18,34.15,34.18,13600,37
11/17/2020 12:40:00 PM,34.18,34.2177,34.18,34.2177,4400,31
11/17/2020 12:41:00 PM,34.2177,34.28,34.2177,34.24,11200,40
11/17/2020 12:42:00 PM,34.24,34.25,34.23,34.245,5500,37
11/17/2020 12:43:00 PM,34.245,34.26,34.24,34.26,1900,40
11/17/2020 12:44:00 PM,34.26,34.26,34.25,34.255,600,42
11/17/2020 12:45:00 PM,34.255,34.255,34.21,34.225,12600,14
11/17/2020 12:46:00 PM,34.225,34.225,34.16,34.165,9600,2
11/17/2020 12:47:00 PM,34.165,34.165,34.13,34.16,2900,6
11/17/2020 12:48:00 PM,34.16,34.16,34.13,34.16,5900,3
11/17/2020 12:49:00 PM,34.155,34.16,34.145,34.16,1500,7
11/17/2020 12:50:00 PM,34.16,34.195,34.16,34.17,3800,-1
11/17/2020 12:51:00 PM,34.17,34.21,34.17,34.21,900,-20
11/17/2020 12:52:00 PM,34.21,34.27,34.21,34.245,7700,-8
11/17/2020 12:53:00 PM,34.245,34.25,34.23,34.24,2300,5
11/17/2020 12:54:00 PM,34.23,34.24,34.23,34.24,1400,6
11/17/2020 12:55:00 PM,34.2301,34.24,34.2,34.2,6400,-10
11/17/2020 12:56:00 PM,34.2,34.21,34.19,34.19,2800,-4
11/17/2020 12:57:00 PM,34.19,34.2,34.17,34.17,4200,-16
11/17/2020 12:58:00 PM,34.17,34.17,34.1,34.125,6400,-25
