Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,44.8489,44.95,44.8,44.9,85700,
11/17/2020 10:32:00 AM,44.9,44.94,44.89,44.92,59800,9
11/17/2020 10:33:00 AM,44.92,44.9217,44.69,44.8673,162800,22
11/17/2020 10:34:00 AM,44.8673,44.9,44.7601,44.8784,73300,28
11/17/2020 10:35:00 AM,44.8784,44.95,44.8401,44.87,72000,21
11/17/2020 10:36:00 AM,44.8541,44.95,44.8541,44.9101,94500,27
11/17/2020 10:37:00 AM,44.9101,44.918,44.56,44.685,165900,9
11/17/2020 10:38:00 AM,44.685,44.6999,44.54,44.5999,77100,4
11/17/2020 10:39:00 AM,44.5999,44.6,44.48,44.6,114200,10
11/17/2020 10:40:00 AM,44.595,44.67,44.58,44.6173,70700,13
11/17/2020 10:41:00 AM,44.6173,44.71,44.54,44.5547,81600,8
11/17/2020 10:42:00 AM,44.52,44.56,44.47,44.4989,58300,7
11/17/2020 10:43:00 AM,44.4989,44.56,44.47,44.4869,67200,4
11/17/2020 10:44:00 AM,44.49,44.5,44.37,44.4303,78400,1
11/17/2020 10:45:00 AM,44.4303,44.4303,44.2,44.2327,140200,-6
11/17/2020 10:46:00 AM,44.2378,44.37,44.16,44.3399,111500,-1
11/17/2020 10:47:00 AM,44.3399,44.43,44.28,44.43,81100,-12
11/17/2020 10:48:00 AM,44.43,44.49,44.353,44.44,62000,-13
11/17/2020 10:49:00 AM,44.4492,44.6,44.4322,44.4901,111200,-2
11/17/2020 10:50:00 AM,44.4901,44.53,44.4145,44.463,48100,6
11/17/2020 10:51:00 AM,44.463,44.55,44.37,44.55,44600,-3
11/17/2020 10:52:00 AM,44.55,44.74,44.5481,44.71,90000,-3
11/17/2020 10:53:00 AM,44.71,44.74,44.67,44.73,84200,7
11/17/2020 10:54:00 AM,44.73,44.74,44.62,44.72,38200,16
11/17/2020 10:55:00 AM,44.72,44.7278,44.6,44.62,73300,11
11/17/2020 10:56:00 AM,44.63,44.69,44.54,44.55,56700,15
11/17/2020 10:57:00 AM,44.55,44.65,44.535,44.64,111200,22
11/17/2020 10:58:00 AM,44.64,44.66,44.59,44.65,70600,18
11/17/2020 10:59:00 AM,44.65,44.74,44.64,44.675,116000,21
11/17/2020 11:00:00 AM,44.675,44.7,44.66,44.6748,59700,26
11/17/2020 11:01:00 AM,44.66,44.69,44.5601,44.675,60100,36
11/17/2020 11:02:00 AM,44.675,44.685,44.645,44.66,57200,33
11/17/2020 11:03:00 AM,44.666,44.68,44.6579,44.66,32200,34
11/17/2020 11:04:00 AM,44.67,44.74,44.65,44.73,64800,34
11/17/2020 11:05:00 AM,44.7201,44.86,44.7201,44.8253,79700,30
11/17/2020 11:06:00 AM,44.8253,44.93,44.8253,44.93,77400,28
11/17/2020 11:07:00 AM,44.917,44.92,44.7951,44.84,43000,36
11/17/2020 11:08:00 AM,44.84,44.89,44.8001,44.85,42200,29
11/17/2020 11:09:00 AM,44.8568,44.9091,44.73,44.7442,103900,17
11/17/2020 11:10:00 AM,44.7442,44.8144,44.71,44.7849,32700,6
11/17/2020 11:11:00 AM,44.7849,44.82,44.75,44.8,38300,2
11/17/2020 11:12:00 AM,44.8,44.83,44.74,44.8,38200,4
11/17/2020 11:13:00 AM,44.8,44.86,44.69,44.74,164200,-33
11/17/2020 11:14:00 AM,44.74,44.75,44.6322,44.6322,112400,-40
11/17/2020 11:15:00 AM,44.64,44.72,44.64,44.697,17900,-57
11/17/2020 11:16:00 AM,44.697,44.75,44.68,44.68,35000,-49
11/17/2020 11:17:00 AM,44.68,44.73,44.65,44.705,28400,-55
11/17/2020 11:18:00 AM,44.71,44.77,44.7,44.77,69700,-57
11/17/2020 11:19:00 AM,44.77,44.925,44.77,44.83,66200,-55
11/17/2020 11:20:00 AM,44.835,44.87,44.83,44.86,53100,-56
11/17/2020 11:21:00 AM,44.8479,44.86,44.83,44.845,42400,-47
11/17/2020 11:22:00 AM,44.845,44.86,44.79,44.8378,46500,-43
11/17/2020 11:23:00 AM,44.8378,44.88,44.8,44.865,76700,-43
11/17/2020 11:24:00 AM,44.865,44.92,44.855,44.92,46300,-43
11/17/2020 11:25:00 AM,44.92,44.94,44.895,44.9199,41200,-29
11/17/2020 11:26:00 AM,44.915,44.93,44.82,44.88,53800,-22
11/17/2020 11:27:00 AM,44.89,44.98,44.89,44.96,73200,-17
11/17/2020 11:28:00 AM,44.9608,45.04,44.9522,45,204000,9
11/17/2020 11:29:00 AM,45,45.02,44.96,44.9816,194000,-3
11/17/2020 11:30:00 AM,44.9816,45,44.93,44.9597,48800,8
11/17/2020 11:31:00 AM,44.9597,45.04,44.95,44.9941,100800,17
11/17/2020 11:32:00 AM,45,45.05,44.93,44.96,174500,-7
11/17/2020 11:33:00 AM,44.96,44.9999,44.88,44.9972,52100,-6
11/17/2020 11:34:00 AM,44.9972,45.005,44.9615,44.9615,46500,1
11/17/2020 11:35:00 AM,44.96,45.01,44.96,45,61400,1
11/17/2020 11:36:00 AM,45,45.02,44.94,44.96,59900,10
11/17/2020 11:37:00 AM,44.96,44.97,44.9,44.92,62100,6
11/17/2020 11:38:00 AM,44.92,44.987,44.92,44.987,19000,-9
11/17/2020 11:39:00 AM,44.987,45,44.92,44.97,52000,-4
11/17/2020 11:40:00 AM,44.97,45,44.96,44.98,38300,-10
11/17/2020 11:41:00 AM,44.98,44.98,44.8522,44.9517,64900,-10
11/17/2020 11:42:00 AM,44.95,45,44.95,44.99,54400,-18
11/17/2020 11:43:00 AM,44.99,45.005,44.96,45,62600,-22
11/17/2020 11:44:00 AM,45,45.00999,44.98,45.0001,65300,-37
11/17/2020 11:45:00 AM,45.0001,45.01,44.92,44.99,70000,-20
11/17/2020 11:46:00 AM,44.9899,45.055,44.9825,45.01,115200,-15
11/17/2020 11:47:00 AM,45.01,45.015,44.96,44.9911,63300,-16
11/17/2020 11:48:00 AM,44.9911,45,44.96,45,28600,-6
11/17/2020 11:49:00 AM,45,45,44.77,44.85,85800,-11
11/17/2020 11:50:00 AM,44.86,44.95,44.84,44.8603,30100,-18
11/17/2020 11:51:00 AM,44.86,44.93,44.84,44.93,34700,-22
11/17/2020 11:52:00 AM,44.93,44.99,44.925,44.954,40900,-25
11/17/2020 11:53:00 AM,44.954,44.99,44.954,44.97,21400,-30
11/17/2020 11:54:00 AM,44.97,45.01,44.96,44.98,73300,-23
11/17/2020 11:55:00 AM,44.98,45.055,44.98,45.0445,97100,-3
11/17/2020 11:56:00 AM,45.0445,45.06,44.9815,45,119200,-36
11/17/2020 11:57:00 AM,45.01,45.01,44.97,44.9701,51900,-30
11/17/2020 11:58:00 AM,44.9701,45,44.93,44.9489,36600,-20
11/17/2020 11:59:00 AM,44.9489,44.99,44.93,44.99,40300,-23
11/17/2020 12:00:00 PM,44.99,45.15,44.9881,45.1322,139500,-10
11/17/2020 12:01:00 PM,45.1322,45.2,45.105,45.19,141400,0
11/17/2020 12:02:00 PM,45.1925,45.23,45.147,45.16,99900,-10
11/17/2020 12:03:00 PM,45.16,45.19,45.15,45.16,46200,-14
11/17/2020 12:04:00 PM,45.15,45.18,45.15,45.165,41700,-15
11/17/2020 12:05:00 PM,45.1664,45.27,45.16,45.21,99700,4
11/17/2020 12:06:00 PM,45.21,45.26,45.2,45.224,94200,12
11/17/2020 12:07:00 PM,45.224,45.2399,45.11,45.115,51000,12
11/17/2020 12:08:00 PM,45.115,45.155,45.0921,45.119,34700,12
11/17/2020 12:09:00 PM,45.115,45.195,45.094,45.195,63900,15
11/17/2020 12:10:00 PM,45.195,45.23,45.18,45.2,37600,7
11/17/2020 12:11:00 PM,45.2,45.25,45.16,45.1858,32800,18
11/17/2020 12:12:00 PM,45.1858,45.24,45.13,45.15,26900,37
11/17/2020 12:13:00 PM,45.15,45.24,45.13,45.23,37500,31
11/17/2020 12:14:00 PM,45.23,45.3,45.215,45.28,69400,35
11/17/2020 12:15:00 PM,45.3,45.375,45.28,45.3399,82000,41
11/17/2020 12:16:00 PM,45.332,45.3478,45.29,45.325,35100,31
11/17/2020 12:17:00 PM,45.3359,45.3359,45.22,45.2601,37800,25
11/17/2020 12:18:00 PM,45.2601,45.2889,45.24,45.2558,36000,36
11/17/2020 12:19:00 PM,45.255,45.29,45.2422,45.2653,20100,30
11/17/2020 12:20:00 PM,45.2653,45.2778,45.12,45.13,45000,30
11/17/2020 12:21:00 PM,45.13,45.1406,45.05,45.11,60500,18
11/17/2020 12:22:00 PM,45.11,45.14,45.0605,45.1,25300,15
11/17/2020 12:23:00 PM,45.104,45.1099,45.03,45.08,70900,11
11/17/2020 12:24:00 PM,45.08,45.13,45.07,45.1,29300,8
11/17/2020 12:25:00 PM,45.11,45.135,45.08,45.12,43600,4
11/17/2020 12:26:00 PM,45.12,45.3,45.105,45.295,108200,20
11/17/2020 12:27:00 PM,45.2982,45.35,45.27,45.324,57900,19
11/17/2020 12:28:00 PM,45.324,45.3978,45.31,45.3978,63900,18
11/17/2020 12:29:00 PM,45.3978,45.45,45.37,45.3857,103500,8
11/17/2020 12:30:00 PM,45.384,45.3899,45.335,45.37,49800,7
11/17/2020 12:31:00 PM,45.37,45.45,45.32,45.4322,64900,5
11/17/2020 12:32:00 PM,45.4322,45.47,45.37,45.41,51500,3
11/17/2020 12:33:00 PM,45.41,45.4678,45.39,45.407,37300,4
11/17/2020 12:34:00 PM,45.407,45.49,45.4028,45.47,35900,-3
11/17/2020 12:35:00 PM,45.48,45.51,45.3606,45.39,129900,-12
11/17/2020 12:36:00 PM,45.39,45.41,45.34,45.3509,31300,-8
11/17/2020 12:37:00 PM,45.3478,45.36,45.295,45.35,40600,-4
11/17/2020 12:38:00 PM,45.35,45.42,45.34,45.4065,22800,-16
11/17/2020 12:39:00 PM,45.4065,45.49,45.405,45.47,31100,-20
11/17/2020 12:40:00 PM,45.47,45.49,45.4,45.4,48300,-14
11/17/2020 12:41:00 PM,45.4,45.505,45.4,45.46,63600,-10
11/17/2020 12:42:00 PM,45.46,45.5,45.4599,45.49,80700,-12
11/17/2020 12:43:00 PM,45.5,45.52,45.47499,45.495,73700,-9
11/17/2020 12:44:00 PM,45.495,45.53,45.49,45.5078,50800,-10
11/17/2020 12:45:00 PM,45.5078,45.53,45.44,45.49,55300,-3
11/17/2020 12:46:00 PM,45.505,45.58,45.505,45.58,65700,-2
11/17/2020 12:47:00 PM,45.58,45.62,45.47,45.5965,75100,2
11/17/2020 12:48:00 PM,45.5978,45.6,45.53,45.5402,35600,5
11/17/2020 12:49:00 PM,45.5402,45.55,45.46,45.477,63300,0
11/17/2020 12:50:00 PM,45.477,45.61,45.45,45.61,59300,4
11/17/2020 12:51:00 PM,45.61,45.75,45.59,45.73,92800,24
11/17/2020 12:52:00 PM,45.73,45.75,45.62,45.62,85000,10
11/17/2020 12:53:00 PM,45.62,45.75,45.61,45.7186,64000,7
11/17/2020 12:54:00 PM,45.7186,45.74,45.63,45.63,59700,11
11/17/2020 12:55:00 PM,45.63,45.69,45.63,45.6717,63800,15
11/17/2020 12:56:00 PM,45.675,45.68,45.6338,45.6338,32800,21
11/17/2020 12:57:00 PM,45.6338,45.65,45.59,45.65,42000,16
11/17/2020 12:58:00 PM,45.65,45.6862,45.62,45.677,54400,13
11/17/2020 12:59:00 PM,45.6725,45.7,45.65,45.665,53400,12
11/17/2020 1:00:00 PM,45.665,45.74,45.665,45.7,50400,11
11/17/2020 1:01:00 PM,45.7011,45.7588,45.6822,45.74,65900,12
11/17/2020 1:02:00 PM,45.7462,45.79,45.68,45.6803,86000,3
11/17/2020 1:03:00 PM,45.68,45.73,45.67,45.7199,55100,0
11/17/2020 1:04:00 PM,45.7129,45.7129,45.59,45.685,62300,-4
11/17/2020 1:05:00 PM,45.6862,45.769,45.6862,45.7601,50100,-7
11/17/2020 1:06:00 PM,45.7601,45.82,45.75,45.7684,56900,-7
11/17/2020 1:07:00 PM,45.7684,45.85,45.75,45.85,60900,-10
11/17/2020 1:08:00 PM,45.85,45.92,45.85,45.92,109200,3
11/17/2020 1:09:00 PM,45.92,45.9627,45.87,45.92,94700,3
11/17/2020 1:10:00 PM,45.92,45.98,45.9,45.96,58900,16
11/17/2020 1:11:00 PM,45.96,46.05,45.94,46.025,190400,39
11/17/2020 1:12:00 PM,46.025,46.1,46.0104,46.06,123900,55
11/17/2020 1:13:00 PM,46.05,46.11,45.95,46.045,113000,18
11/17/2020 1:14:00 PM,46.045,46.05,45.89,45.9065,82500,4
11/17/2020 1:15:00 PM,45.91,45.96,45.8822,45.915,64600,4
11/17/2020 1:16:00 PM,45.915,45.9499,45.85,45.9009,73100,3
11/17/2020 1:17:00 PM,45.9009,45.95,45.88,45.91,36300,-4
11/17/2020 1:18:00 PM,45.91,45.96,45.91,45.9367,37800,-2
11/17/2020 1:19:00 PM,45.9459,46,45.93,45.97,44900,1
11/17/2020 1:20:00 PM,45.9799,46.17,45.975,46.1266,103300,23
11/17/2020 1:21:00 PM,46.1266,46.14,46.0567,46.1,71900,0
11/17/2020 1:22:00 PM,46.1,46.2,46.1,46.19,102600,11
11/17/2020 1:23:00 PM,46.1911,46.22,46.1,46.17,107800,-6
11/17/2020 1:24:00 PM,46.1581,46.28,46.08,46.24,126900,-2
11/17/2020 1:25:00 PM,46.24,46.3,46.2014,46.265,57200,-6
11/17/2020 1:26:00 PM,46.265,46.305,46.26,46.29,81500,-5
11/17/2020 1:27:00 PM,46.2894,46.39,46.2327,46.33,111600,-12
11/17/2020 1:28:00 PM,46.33,46.4,46.24,46.3038,98300,-19
11/17/2020 1:29:00 PM,46.3132,46.3799,46.28,46.3528,51300,-17
11/17/2020 1:30:00 PM,46.3528,46.45,46.33,46.39,134700,10
11/17/2020 1:31:00 PM,46.39,46.41,46.24,46.25,137500,-25
11/17/2020 1:32:00 PM,46.255,46.28,46.1,46.1354,191600,-58
11/17/2020 1:33:00 PM,46.12,46.25,46.12,46.235,86300,-55
11/17/2020 1:34:00 PM,46.235,46.24,46.02,46.02,85300,-38
11/17/2020 1:35:00 PM,46.02,46.06,45.932,46.04,116400,-27
11/17/2020 1:36:00 PM,46.049,46.05,45.95,45.96,91100,-24
11/17/2020 1:37:00 PM,45.9502,45.98,45.9,45.97,88000,-33
11/17/2020 1:38:00 PM,45.97,46.03,45.94,45.9662,74100,-22
11/17/2020 1:39:00 PM,45.965,45.97,45.88,45.93,48600,-10
11/17/2020 1:40:00 PM,45.93,45.98,45.9296,45.9798,41500,-23
11/17/2020 1:41:00 PM,45.98,46.11,45.94,46.0547,105100,-15
11/17/2020 1:42:00 PM,46.0535,46.1299,46.01,46.117,63200,-21
11/17/2020 1:43:00 PM,46.1278,46.15,46.07,46.1003,85800,-20
11/17/2020 1:44:00 PM,46.1,46.135,46.02,46.12,61000,-24
11/17/2020 1:45:00 PM,46.12,46.25999,46.12,46.21999,90000,-20
11/17/2020 1:46:00 PM,46.22,46.25,46.17,46.2,55200,-17
11/17/2020 1:47:00 PM,46.2,46.24,46.17,46.18,79100,-7
11/17/2020 1:48:00 PM,46.18,46.19,46.06,46.1,126400,-1
11/17/2020 1:49:00 PM,46.0927,46.19,46,46.16,146800,12
11/17/2020 1:50:00 PM,46.1619,46.17,46.06,46.09,56100,17
11/17/2020 1:51:00 PM,46.08999,46.11999,45.95999,45.99999,129000,4
11/17/2020 1:52:00 PM,46,46.02,45.82,45.91999,93700,3
11/17/2020 1:53:00 PM,45.92,45.95,45.88,45.88,38500,10
11/17/2020 1:54:00 PM,45.88,45.9057,45.81,45.8402,66100,12
11/17/2020 1:55:00 PM,45.8402,46.04,45.8402,46.02,107900,14
11/17/2020 1:56:00 PM,46.02,46.1,46,46.0199,51700,28
11/17/2020 1:57:00 PM,46.0022,46.07,45.97,46.06,56000,16
11/17/2020 1:58:00 PM,46.0601,46.08,45.96,46,38300,26
11/17/2020 1:59:00 PM,46,46.06,45.98,46.02,46700,15
11/17/2020 2:00:00 PM,46.02,46.1,46,46.06,57000,14
11/17/2020 2:01:00 PM,46.06,46.0721,46.02,46.03,31400,16
11/17/2020 2:02:00 PM,46.03,46.05,45.94,46,83200,13
11/17/2020 2:03:00 PM,46,46.16,45.99,46.07,103900,22
11/17/2020 2:04:00 PM,46.07,46.2,46.045,46.05,68200,27
11/17/2020 2:05:00 PM,46.05,46.18,46.05,46.14,28200,2
11/17/2020 2:06:00 PM,46.14,46.23,46.14,46.22,49000,-3
11/17/2020 2:07:00 PM,46.22,46.28,46.21,46.2711,59000,5
11/17/2020 2:08:00 PM,46.28,46.35,46.22,46.35,88300,16
11/17/2020 2:09:00 PM,46.34,46.4182,46.34,46.38,111100,20
11/17/2020 2:10:00 PM,46.38,46.45,46.31,46.42,74500,24
11/17/2020 2:11:00 PM,46.42,46.48,46.38,46.4054,88500,10
11/17/2020 2:12:00 PM,46.4054,46.43,46.35,46.4,85600,1
11/17/2020 2:13:00 PM,46.42,46.49,46.38,46.48,121900,10
11/17/2020 2:14:00 PM,46.4684,46.55,46.44,46.53,184100,20
11/17/2020 2:15:00 PM,46.5499,46.55,46.39,46.41,100000,18
11/17/2020 2:16:00 PM,46.41,46.44,46.25,46.29,105400,15
11/17/2020 2:17:00 PM,46.29,46.29,46.14,46.207,72800,9
11/17/2020 2:18:00 PM,46.207,46.25,46.17,46.23,43900,1
11/17/2020 2:19:00 PM,46.24,46.29,46.21,46.27,53000,-7
11/17/2020 2:20:00 PM,46.2601,46.28,46.2,46.23,63500,-5
11/17/2020 2:21:00 PM,46.23,46.29,46.19,46.205,47900,11
11/17/2020 2:22:00 PM,46.2163,46.27,46.19,46.23,70600,14
11/17/2020 2:23:00 PM,46.23,46.3,46.18999,46.25999,76100,14
11/17/2020 2:24:00 PM,46.27,46.29,46.2101,46.22,56800,19
11/17/2020 2:25:00 PM,46.22,46.3,46.21,46.275,54700,10
11/17/2020 2:26:00 PM,46.275,46.3188,46.21,46.23,41800,16
11/17/2020 2:27:00 PM,46.23,46.4,46.23,46.3949,80500,18
11/17/2020 2:28:00 PM,46.38,46.4078,46.3,46.3366,46700,26
11/17/2020 2:29:00 PM,46.3366,46.41,46.3357,46.355,45500,12
11/17/2020 2:30:00 PM,46.3589,46.3589,46.3,46.33,45700,-2
11/17/2020 2:31:00 PM,46.34,46.42,46.32,46.4144,59700,4
11/17/2020 2:32:00 PM,46.4144,46.44,46.33,46.4,55700,11
11/17/2020 2:33:00 PM,46.3888,46.49,46.3719,46.48,78400,17
11/17/2020 2:34:00 PM,46.48,46.55,46.46,46.4789,136000,3
11/17/2020 2:35:00 PM,46.4789,46.4999,46.4,46.4001,62000,5
11/17/2020 2:36:00 PM,46.4001,46.48,46.36,46.41,89200,9
11/17/2020 2:37:00 PM,46.41,46.49,46.32,46.4,123200,-4
11/17/2020 2:38:00 PM,46.4,46.4248,46.34,46.3701,51000,-1
11/17/2020 2:39:00 PM,46.3701,46.41,46.28,46.3134,72000,-3
11/17/2020 2:40:00 PM,46.31,46.4,46.23,46.287,62600,-2
