Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,27.5,27.5,27.48,27.49,3200,
11/17/2020 10:32:00 AM,27.5,27.54,27.48,27.54,2600,10
11/17/2020 10:33:00 AM,27.54,27.7,27.54,27.66,4300,20
11/17/2020 10:34:00 AM,27.66,27.7,27.66,27.7,1300,26
11/17/2020 10:35:00 AM,27.7,27.7,27.69,27.7,1300,29
11/17/2020 10:36:00 AM,27.7,27.7,27.62,27.6475,1700,23
11/17/2020 10:37:00 AM,27.6475,27.6475,27.6475,27.6475,0,27
11/17/2020 10:38:00 AM,27.655,27.655,27.61,27.63,3900,8
11/17/2020 10:39:00 AM,27.63,27.63,27.63,27.63,0,9
11/17/2020 10:40:00 AM,27.55,27.55,27.47,27.47,700,9
11/17/2020 10:41:00 AM,27.47,27.47,27.47,27.47,0,10
11/17/2020 10:42:00 AM,27.47,27.55,27.47,27.55,600,10
11/17/2020 10:43:00 AM,27.56,27.56,27.51,27.51,200,13
11/17/2020 10:44:00 AM,27.51,27.575,27.51,27.575,400,12
11/17/2020 10:45:00 AM,27.575,27.6,27.575,27.575,300,12
11/17/2020 10:46:00 AM,27.6,27.6,27.55,27.585,1300,15
11/17/2020 10:47:00 AM,27.585,27.585,27.55,27.575,1400,8
11/17/2020 10:48:00 AM,27.55,27.64,27.53,27.64,4600,34
11/17/2020 10:49:00 AM,27.64,27.69,27.64,27.69,700,-1
11/17/2020 10:50:00 AM,27.69,27.7,27.69,27.7,8800,71
11/17/2020 10:51:00 AM,27.7,27.7,27.7,27.7,1700,72
11/17/2020 10:52:00 AM,27.7,27.7,27.66,27.66,2000,68
11/17/2020 10:53:00 AM,27.7,27.7,27.7,27.7,900,52
11/17/2020 10:54:00 AM,27.7,27.7,27.7,27.7,700,79
11/17/2020 10:55:00 AM,27.7,27.7,27.7,27.7,1300,81
11/17/2020 10:56:00 AM,27.7,27.7,27.7,27.7,800,75
11/17/2020 10:57:00 AM,27.7,27.9,27.67,27.9,3100,84
11/17/2020 10:58:00 AM,27.9,27.9,27.89,27.89,200,100
11/17/2020 10:59:00 AM,27.89,27.9,27.88,27.89,3300,99
11/17/2020 11:00:00 AM,27.88,27.88,27.78,27.78,3300,81
11/17/2020 11:01:00 AM,27.745,27.745,27.745,27.745,100,100
11/17/2020 11:02:00 AM,27.74,27.8,27.74,27.8,200,87
11/17/2020 11:03:00 AM,27.8,27.8,27.8,27.8,0,90
11/17/2020 11:04:00 AM,27.8,27.8,27.8,27.8,100,75
11/17/2020 11:05:00 AM,27.85,27.87,27.85,27.87,1000,69
11/17/2020 11:06:00 AM,27.88,27.9,27.82,27.835,1400,-7
11/17/2020 11:07:00 AM,27.88,27.9,27.845,27.9,1100,-11
11/17/2020 11:08:00 AM,27.845,27.9,27.845,27.9,400,-2
11/17/2020 11:09:00 AM,27.9,27.9,27.89,27.89,400,15
11/17/2020 11:10:00 AM,27.9,27.9,27.845,27.9,400,1
11/17/2020 11:11:00 AM,27.9,27.9,27.845,27.89,600,8
11/17/2020 11:12:00 AM,27.9,27.9,27.81,27.895,800,4
11/17/2020 11:13:00 AM,27.895,27.9,27.895,27.9,700,-19
11/17/2020 11:14:00 AM,27.9,27.9,27.9,27.9,400,-28
11/17/2020 11:15:00 AM,27.9,27.9,27.9,27.9,500,-27
11/17/2020 11:16:00 AM,27.9,27.9,27.9,27.9,200,5
11/17/2020 11:17:00 AM,27.9,27.9,27.835,27.9,1100,-6
11/17/2020 11:18:00 AM,27.9,27.9,27.9,27.9,300,1
11/17/2020 11:19:00 AM,27.9,27.9,27.9,27.9,200,1
11/17/2020 11:20:00 AM,27.9,27.9,27.87,27.89,4900,-88
11/17/2020 11:21:00 AM,27.88,27.88,27.85,27.85,600,-70
11/17/2020 11:22:00 AM,27.85,27.855,27.8,27.805,3400,-98
11/17/2020 11:23:00 AM,27.81,27.875,27.805,27.825,3000,-53
11/17/2020 11:24:00 AM,27.825,27.87,27.825,27.87,100,-77
11/17/2020 11:25:00 AM,27.86,27.89,27.85,27.89,2500,-78
11/17/2020 11:26:00 AM,27.89,27.9,27.825,27.825,6400,-100
11/17/2020 11:27:00 AM,27.825,27.875,27.825,27.87,4900,-100
11/17/2020 11:28:00 AM,27.87,27.89,27.87,27.89,300,-100
11/17/2020 11:29:00 AM,27.87,27.89,27.87,27.89,800,-100
11/17/2020 11:30:00 AM,27.9,27.9,27.87,27.88,1700,-81
11/17/2020 11:31:00 AM,27.88,27.9,27.88,27.9,800,-97
11/17/2020 11:32:00 AM,27.9,27.9,27.89,27.9,4800,-90
11/17/2020 11:33:00 AM,27.9,27.9,27.88,27.9,1100,-96
11/17/2020 11:34:00 AM,27.9,28.035,27.87,28.02,5500,-55
11/17/2020 11:35:00 AM,28.02,28.055,28.005,28.055,2100,-54
11/17/2020 11:36:00 AM,28.055,28.08,28.055,28.08,1700,-34
11/17/2020 11:37:00 AM,28.05,28.05,28,28,800,-34
11/17/2020 11:38:00 AM,28,28.1,28,28.1,1600,10
11/17/2020 11:39:00 AM,28.055,28.09,28.055,28.09,300,9
11/17/2020 11:40:00 AM,28.1,28.1,28.0984,28.1,3800,32
11/17/2020 11:41:00 AM,28.08,28.1,28.08,28.1,500,38
11/17/2020 11:42:00 AM,28.1,28.1,28.07,28.07,600,100
11/17/2020 11:43:00 AM,28.1,28.1,28.05,28.05,700,96
11/17/2020 11:44:00 AM,28.05,28.1,28.05,28.075,800,96
11/17/2020 11:45:00 AM,28.09,28.09,28,28.03,1600,87
11/17/2020 11:46:00 AM,28.03,28.03,28.03,28.03,0,93
11/17/2020 11:47:00 AM,28.03,28.03,28.03,28.03,300,100
11/17/2020 11:48:00 AM,28.05,28.07,28.01,28.07,1000,94
11/17/2020 11:49:00 AM,28.08,28.1,28.065,28.065,700,92
11/17/2020 11:50:00 AM,28.09,28.1,28.09,28.1,300,48
11/17/2020 11:51:00 AM,28.1,28.1,28.08,28.08,8700,-40
11/17/2020 11:52:00 AM,28.08,28.08,28.05,28.08,600,-47
11/17/2020 11:53:00 AM,28.08,28.08,28,28.055,1200,-46
11/17/2020 11:54:00 AM,28.055,28.055,27.98,28.01,2500,-49
11/17/2020 11:55:00 AM,27.98,27.98,27.98,27.98,1000,-55
11/17/2020 11:56:00 AM,27.98,27.98,27.96,27.96,100,-89
11/17/2020 11:57:00 AM,27.925,27.94,27.89,27.925,1100,-84
11/17/2020 11:58:00 AM,27.815,27.815,27.815,27.815,100,-80
11/17/2020 11:59:00 AM,27.82,27.82,27.79,27.795,500,-80
11/17/2020 12:00:00 PM,27.79,27.79,27.79,27.79,100,-78
11/17/2020 12:01:00 PM,27.79,27.79,27.74,27.75,2400,-85
11/17/2020 12:02:00 PM,27.69,27.69,27.68,27.68,200,-80
11/17/2020 12:03:00 PM,27.68,27.68,27.655,27.655,100,-72
11/17/2020 12:04:00 PM,27.655,27.73,27.655,27.69,1400,-61
11/17/2020 12:05:00 PM,27.69,27.71,27.6,27.71,2900,-16
11/17/2020 12:06:00 PM,27.76,27.86,27.76,27.86,3400,39
11/17/2020 12:07:00 PM,27.86,27.86,27.86,27.86,0,84
11/17/2020 12:08:00 PM,27.86,27.96,27.86,27.935,700,84
11/17/2020 12:09:00 PM,27.935,27.935,27.935,27.935,100,86
11/17/2020 12:10:00 PM,27.935,28.03,27.935,28.03,600,78
11/17/2020 12:11:00 PM,28.03,28.03,27.96,28,400,82
11/17/2020 12:12:00 PM,27.99,27.99,27.98,27.98,600,77
11/17/2020 12:13:00 PM,27.97,28.06,27.97,28.05,900,73
11/17/2020 12:14:00 PM,28.05,28.05,27.97,28.04,800,67
11/17/2020 12:15:00 PM,28.04,28.1,28.04,28.1,1300,60
11/17/2020 12:16:00 PM,28.1,28.1,28.1,28.1,800,58
11/17/2020 12:17:00 PM,28.09,28.1,28.09,28.09,300,78
11/17/2020 12:18:00 PM,28.1,28.1,28.1,28.1,700,66
11/17/2020 12:19:00 PM,28.1,28.1,28.1,28.1,200,63
11/17/2020 12:20:00 PM,28.1,28.1,28.03,28.06,3600,15
11/17/2020 12:21:00 PM,28.04,28.04,28.04,28.04,200,12
11/17/2020 12:22:00 PM,28.04,28.04,28.04,28.04,100,-13
11/17/2020 12:23:00 PM,28.04,28.04,28.04,28.04,0,-12
11/17/2020 12:24:00 PM,28.04,28.1,28.04,28.1,1700,3
11/17/2020 12:25:00 PM,28.09,28.09,28.09,28.09,100,14
11/17/2020 12:26:00 PM,28.1,28.1,28.09,28.09,1400,22
11/17/2020 12:27:00 PM,28.09,28.1,28.06,28.0625,1100,15
11/17/2020 12:28:00 PM,28.0625,28.1,28.0625,28.1,200,-6
11/17/2020 12:29:00 PM,28.1,28.1,28.085,28.085,2100,-16
11/17/2020 12:30:00 PM,28.1,28.1,28.09,28.1,800,-24
11/17/2020 12:31:00 PM,28.1,28.18,28.1,28.165,7000,65
11/17/2020 12:32:00 PM,28.165,28.165,28.13,28.15,600,74
11/17/2020 12:33:00 PM,28.15,28.165,28.14,28.1412,900,73
11/17/2020 12:34:00 PM,28.1412,28.2,28.1412,28.2,600,61
11/17/2020 12:35:00 PM,28.2,28.2,28.18,28.19,900,66
11/17/2020 12:36:00 PM,28.19,28.2,28.19,28.2,3500,100
11/17/2020 12:37:00 PM,28.2,28.39,28.2,28.39,1400,86
11/17/2020 12:38:00 PM,28.39,28.49,28.39,28.49,1100,76
11/17/2020 12:39:00 PM,28.48,28.56,28.46,28.56,4100,93
11/17/2020 12:40:00 PM,28.56,28.58,28.4637,28.4637,2800,74
11/17/2020 12:41:00 PM,28.455,28.5,28.455,28.5,1300,55
11/17/2020 12:42:00 PM,28.465,28.465,28.465,28.465,400,66
11/17/2020 12:43:00 PM,28.465,28.465,28.42,28.43,2100,56
11/17/2020 12:44:00 PM,28.43,28.43,28.32,28.3209,4100,44
11/17/2020 12:45:00 PM,28.365,28.383,28.32,28.3625,1800,38
11/17/2020 12:46:00 PM,28.31,28.31,28.29,28.29,300,63
11/17/2020 12:47:00 PM,28.22,28.23,28.2149,28.2149,1400,31
11/17/2020 12:48:00 PM,28.17,28.23,28.17,28.23,1900,21
11/17/2020 12:49:00 PM,28.24,28.24,28.24,28.24,200,1
11/17/2020 12:50:00 PM,28.21,28.21,28.21,28.21,100,26
11/17/2020 12:51:00 PM,28.21,28.3,28.21,28.3,1500,16
11/17/2020 12:52:00 PM,28.3,28.35,28.3,28.35,100,-8
11/17/2020 12:53:00 PM,28.35,28.38,28.35,28.37,600,-15
11/17/2020 12:54:00 PM,28.37,28.41,28.37,28.41,300,-25
11/17/2020 12:55:00 PM,28.46,28.46,28.46,28.46,200,-50
11/17/2020 12:56:00 PM,28.46,28.46,28.38,28.46,800,-36
11/17/2020 12:57:00 PM,28.46,28.46,28.46,28.46,300,-42
11/17/2020 12:58:00 PM,28.46,28.46,28.46,28.46,400,-53
11/17/2020 12:59:00 PM,28.45,28.46,28.45,28.46,500,-43
11/17/2020 1:00:00 PM,28.425,28.46,28.4,28.445,900,6
11/17/2020 1:01:00 PM,28.46,28.46,28.46,28.46,300,-5
11/17/2020 1:02:00 PM,28.47,28.47,28.36,28.36,700,-11
11/17/2020 1:03:00 PM,28.35,28.39,28.33,28.39,1300,12
11/17/2020 1:04:00 PM,28.39,28.39,28.39,28.39,0,-1
11/17/2020 1:05:00 PM,28.33,28.35,28.32,28.35,1100,-9
11/17/2020 1:06:00 PM,28.35,28.37,28.26,28.33,4600,-91
11/17/2020 1:07:00 PM,28.35,28.35,28.35,28.35,300,-100
11/17/2020 1:08:00 PM,28.35,28.35,28.35,28.35,0,-100
11/17/2020 1:09:00 PM,28.35,28.35,28.35,28.35,0,-100
11/17/2020 1:10:00 PM,28.32,28.32,28.32,28.32,200,-71
11/17/2020 1:11:00 PM,28.37,28.37,28.315,28.315,200,-48
11/17/2020 1:12:00 PM,28.315,28.385,28.315,28.385,1100,-37
11/17/2020 1:13:00 PM,28.41,28.41,28.3316,28.41,1000,-33
11/17/2020 1:14:00 PM,28.41,28.43,28.4,28.4,3200,-57
11/17/2020 1:15:00 PM,28.43,28.43,28.36,28.36,300,-43
11/17/2020 1:16:00 PM,28.3575,28.4,28.3575,28.4,300,-55
11/17/2020 1:17:00 PM,28.4,28.5,28.4,28.5,3500,-13
11/17/2020 1:18:00 PM,28.5,28.5,28.5,28.5,400,-19
11/17/2020 1:19:00 PM,28.5,28.5,28.5,28.5,900,-18
11/17/2020 1:20:00 PM,28.5,28.5,28.5,28.5,300,-20
11/17/2020 1:21:00 PM,28.5,28.5,28.43,28.435,1500,-22
11/17/2020 1:22:00 PM,28.435,28.435,28.41,28.41,800,19
11/17/2020 1:23:00 PM,28.442,28.442,28.441,28.441,2500,49
11/17/2020 1:24:00 PM,28.47,28.49,28.47,28.49,1300,44
11/17/2020 1:25:00 PM,28.49,28.49,28.445,28.48,500,52
11/17/2020 1:26:00 PM,28.48,28.5,28.48,28.5,300,27
11/17/2020 1:27:00 PM,28.45,28.5,28.45,28.5,400,17
11/17/2020 1:28:00 PM,28.5,28.5,28.5,28.5,1600,20
11/17/2020 1:29:00 PM,28.5,28.5,28.47,28.5,400,26
11/17/2020 1:30:00 PM,28.5,28.5,28.5,28.5,400,57
11/17/2020 1:31:00 PM,28.47,28.495,28.47,28.49,400,60
11/17/2020 1:32:00 PM,28.49,28.5,28.475,28.475,400,84
11/17/2020 1:33:00 PM,28.5,28.5,28.5,28.5,700,36
11/17/2020 1:34:00 PM,28.5,28.5,28.5,28.5,500,36
11/17/2020 1:35:00 PM,28.5,28.5,28.5,28.5,400,35
11/17/2020 1:36:00 PM,28.5,28.5,28.48,28.48,1000,32
11/17/2020 1:37:00 PM,28.48,28.5,28.48,28.5,200,24
11/17/2020 1:38:00 PM,28.5,28.5,28.46,28.46,1400,11
11/17/2020 1:39:00 PM,28.47,28.47,28.44,28.46,1300,-14
11/17/2020 1:40:00 PM,28.46,28.5,28.46,28.5,600,-25
11/17/2020 1:41:00 PM,28.5,28.5,28.49,28.5,1300,-29
11/17/2020 1:42:00 PM,28.5,28.5,28.48,28.485,2300,-51
11/17/2020 1:43:00 PM,28.485,28.485,28.47,28.47,800,-47
11/17/2020 1:44:00 PM,28.47,28.47,28.46,28.46,300,-38
11/17/2020 1:45:00 PM,28.48,28.49,28.48,28.49,600,-34
11/17/2020 1:46:00 PM,28.49,28.5,28.49,28.5,500,-35
11/17/2020 1:47:00 PM,28.5,28.5,28.48,28.48,1800,-51
11/17/2020 1:48:00 PM,28.48,28.48,28.44,28.465,2100,-68
11/17/2020 1:49:00 PM,28.465,28.465,28.465,28.465,0,-72
11/17/2020 1:50:00 PM,28.44,28.465,28.33,28.33,3300,-93
11/17/2020 1:51:00 PM,28.36,28.38,28.32,28.38,2800,-52
11/17/2020 1:52:00 PM,28.39,28.47,28.39,28.45,3600,-18
11/17/2020 1:53:00 PM,28.43,28.45,28.43,28.45,800,-2
11/17/2020 1:54:00 PM,28.42,28.42,28.415,28.415,500,12
11/17/2020 1:55:00 PM,28.415,28.415,28.415,28.415,100,12
11/17/2020 1:56:00 PM,28.415,28.415,28.415,28.415,0,30
