Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,54.6,54.6,54.6,54.6,0,
11/17/2020 10:32:00 AM,54.6,54.635,54.6,54.635,200,22
11/17/2020 10:33:00 AM,54.635,54.635,54.635,54.635,0,30
11/17/2020 10:34:00 AM,54.635,54.635,54.635,54.635,0,40
11/17/2020 10:35:00 AM,54.635,54.78,54.59,54.74,4100,38
11/17/2020 10:36:00 AM,54.74,54.74,54.74,54.74,0,46
11/17/2020 10:37:00 AM,54.74,54.74,54.74,54.74,0,54
11/17/2020 10:38:00 AM,54.74,54.795,54.74,54.795,1100,59
11/17/2020 10:39:00 AM,54.795,54.795,54.7,54.7,1900,23
11/17/2020 10:40:00 AM,54.7,54.7,54.7,54.7,100,25
11/17/2020 10:41:00 AM,54.7,54.71,54.69,54.69,900,15
11/17/2020 10:42:00 AM,54.69,54.69,54.69,54.69,100,16
11/17/2020 10:43:00 AM,54.7,54.72,54.7,54.72,500,18
11/17/2020 10:44:00 AM,54.72,54.72,54.72,54.72,100,19
11/17/2020 10:45:00 AM,54.72,54.72,54.66,54.66,700,13
11/17/2020 10:46:00 AM,54.67,54.72,54.67,54.72,1700,25
11/17/2020 10:47:00 AM,54.72,54.72,54.67,54.67,400,80
11/17/2020 10:48:00 AM,54.67,54.67,54.67,54.67,100,100
11/17/2020 10:49:00 AM,54.67,54.67,54.63,54.63,2200,77
11/17/2020 10:50:00 AM,54.55,54.62,54.55,54.62,200,99
11/17/2020 10:51:00 AM,54.62,54.62,54.545,54.545,100,26
11/17/2020 10:52:00 AM,54.59,54.61,54.555,54.61,1700,56
11/17/2020 10:53:00 AM,54.61,54.61,54.61,54.61,100,58
11/17/2020 10:54:00 AM,54.61,54.61,54.57,54.6,1500,38
11/17/2020 10:55:00 AM,54.6,54.61,54.6,54.61,1400,66
11/17/2020 10:56:00 AM,54.61,54.66,54.61,54.66,200,31
11/17/2020 10:57:00 AM,54.66,54.66,54.655,54.655,300,45
11/17/2020 10:58:00 AM,54.655,54.66,54.6,54.66,3800,100
11/17/2020 10:59:00 AM,54.66,54.66,54.63,54.63,100,100
11/17/2020 11:00:00 AM,54.66,54.68,54.66,54.68,900,100
11/17/2020 11:01:00 AM,54.689,54.7179,54.689,54.7179,700,99
11/17/2020 11:02:00 AM,54.7179,54.7179,54.7179,54.7179,0,99
11/17/2020 11:03:00 AM,54.7179,54.7179,54.7179,54.7179,0,98
11/17/2020 11:04:00 AM,54.7179,54.7179,54.7179,54.7179,100,100
11/17/2020 11:05:00 AM,54.7179,54.74,54.7179,54.74,300,100
11/17/2020 11:06:00 AM,54.74,54.78,54.74,54.78,1300,100
11/17/2020 11:07:00 AM,54.78,54.81,54.78,54.81,300,88
11/17/2020 11:08:00 AM,54.81,54.83,54.81,54.83,1000,82
11/17/2020 11:09:00 AM,54.83,54.88,54.81,54.88,1700,97
11/17/2020 11:10:00 AM,54.88,54.92,54.88,54.92,500,100
11/17/2020 11:11:00 AM,54.92,54.92,54.92,54.92,100,100
11/17/2020 11:12:00 AM,54.92,54.92,54.8875,54.8875,200,100
