Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,28.65,28.65,28.65,28.65,0,
11/17/2020 10:32:00 AM,28.65,28.66,28.61,28.62,6900,-22
11/17/2020 10:33:00 AM,28.62,28.62,28.62,28.62,300,-31
11/17/2020 10:34:00 AM,28.61,28.62,28.61,28.62,5200,-24
11/17/2020 10:35:00 AM,28.62,28.64,28.62,28.625,2400,-17
11/17/2020 10:36:00 AM,28.625,28.7,28.62,28.7,11700,12
11/17/2020 10:37:00 AM,28.69,28.69,28.65,28.65,900,14
11/17/2020 10:38:00 AM,28.67,28.67,28.65,28.65,1500,15
11/17/2020 10:39:00 AM,28.66,28.66,28.66,28.66,100,13
11/17/2020 10:40:00 AM,28.65,28.67,28.63,28.65,13400,-17
11/17/2020 10:41:00 AM,28.645,28.67,28.63,28.64,15300,-35
11/17/2020 10:42:00 AM,28.64,28.67,28.62,28.65,4300,-31
11/17/2020 10:43:00 AM,28.66,28.73,28.65,28.69,6900,-23
11/17/2020 10:44:00 AM,28.715,28.72,28.64,28.67,32100,-44
11/17/2020 10:45:00 AM,28.65,28.72,28.65,28.69,59900,-4
11/17/2020 10:46:00 AM,28.69,28.7,28.67,28.6969,24500,7
11/17/2020 10:47:00 AM,28.67,28.67,28.66,28.66,1700,44
11/17/2020 10:48:00 AM,28.66,28.66,28.66,28.66,1000,38
11/17/2020 10:49:00 AM,28.66,28.66,28.65,28.65,2800,57
11/17/2020 10:50:00 AM,28.65,28.655,28.63,28.65,10300,60
11/17/2020 10:51:00 AM,28.65,28.65,28.58,28.62,5300,90
11/17/2020 10:52:00 AM,28.62,28.64,28.56,28.62,10000,100
11/17/2020 10:53:00 AM,28.62,28.62,28.6,28.6,2300,100
11/17/2020 10:54:00 AM,28.625,28.6525,28.625,28.6525,1100,71
11/17/2020 10:55:00 AM,28.655,28.66,28.61,28.61,2000,100
11/17/2020 10:56:00 AM,28.61,28.635,28.61,28.635,300,86
11/17/2020 10:57:00 AM,28.64,28.66,28.621,28.645,5300,76
11/17/2020 10:58:00 AM,28.65,28.65,28.62,28.62,1700,100
11/17/2020 10:59:00 AM,28.625,28.625,28.625,28.625,200,89
11/17/2020 11:00:00 AM,28.625,28.625,28.625,28.625,0,100
11/17/2020 11:01:00 AM,28.625,28.64,28.61,28.64,3700,31
11/17/2020 11:02:00 AM,28.63,28.63,28.62,28.62,2000,-5
11/17/2020 11:03:00 AM,28.62,28.62,28.61,28.62,700,-6
11/17/2020 11:04:00 AM,28.62,28.62,28.62,28.62,100,-7
11/17/2020 11:05:00 AM,28.61,28.63,28.61,28.62,10000,-6
11/17/2020 11:06:00 AM,28.635,28.64,28.62,28.64,2700,-4
11/17/2020 11:07:00 AM,28.64,28.6599,28.63,28.645,6200,13
11/17/2020 11:08:00 AM,28.655,28.7385,28.65,28.7,5900,20
11/17/2020 11:09:00 AM,28.7,28.7067,28.7,28.7052,1600,24
11/17/2020 11:10:00 AM,28.7,28.72,28.7,28.7,13200,-29
11/17/2020 11:11:00 AM,28.72,28.73,28.72,28.73,300,-33
11/17/2020 11:12:00 AM,28.72,28.74,28.7,28.73,5800,-36
11/17/2020 11:13:00 AM,28.73,28.75,28.72,28.74,3000,-35
11/17/2020 11:14:00 AM,28.74,28.8,28.73,28.775,2500,-29
11/17/2020 11:15:00 AM,28.81,28.84,28.78,28.84,600,-29
11/17/2020 11:16:00 AM,28.84,28.86,28.84,28.86,2100,-21
11/17/2020 11:17:00 AM,28.86,28.86,28.84,28.86,900,-29
11/17/2020 11:18:00 AM,28.84,28.86,28.77,28.795,7700,-62
11/17/2020 11:19:00 AM,28.795,28.795,28.795,28.795,500,-61
11/17/2020 11:20:00 AM,28.815,28.83,28.8,28.8,1500,-56
11/17/2020 11:21:00 AM,28.8,28.8,28.8,28.8,0,-58
11/17/2020 11:22:00 AM,28.8,28.8,28.78,28.8,2100,-64
11/17/2020 11:23:00 AM,28.8,28.8,28.8,28.8,100,-86
11/17/2020 11:24:00 AM,28.8,28.8,28.77,28.8,1700,-100
11/17/2020 11:25:00 AM,28.82,28.83,28.8,28.8,1400,-100
11/17/2020 11:26:00 AM,28.82,28.83,28.76,28.77,17500,-100
11/17/2020 11:27:00 AM,28.78,28.7952,28.76,28.76,1500,-100
11/17/2020 11:28:00 AM,28.78,28.8,28.77,28.77,3600,-100
11/17/2020 11:29:00 AM,28.785,28.8,28.785,28.8,700,-100
11/17/2020 11:30:00 AM,28.79,28.8,28.785,28.79,3500,-100
11/17/2020 11:31:00 AM,28.79,28.8,28.79,28.8,4000,-92
11/17/2020 11:32:00 AM,28.8,28.8,28.8,28.8,200,-88
11/17/2020 11:33:00 AM,28.8225,28.83,28.8,28.83,2600,-91
11/17/2020 11:34:00 AM,28.8,28.83,28.8,28.83,1300,-92
11/17/2020 11:35:00 AM,28.8,28.83,28.8,28.8206,400,-52
11/17/2020 11:36:00 AM,28.85,28.86,28.8,28.8,5200,-50
11/17/2020 11:37:00 AM,28.8,28.81,28.79,28.8,2800,-51
11/17/2020 11:38:00 AM,28.8,28.82,28.8,28.8,8400,-48
11/17/2020 11:39:00 AM,28.8,28.82,28.79,28.8,6600,-49
11/17/2020 11:40:00 AM,28.81,28.82,28.81,28.815,5900,-36
11/17/2020 11:41:00 AM,28.815,28.82,28.79,28.8,6300,-37
11/17/2020 11:42:00 AM,28.81,28.81,28.8,28.8,800,-1
11/17/2020 11:43:00 AM,28.8,28.8,28.8,28.8,0,-9
11/17/2020 11:44:00 AM,28.8,28.82,28.8,28.8,8200,-9
11/17/2020 11:45:00 AM,28.8,28.8,28.795,28.8,5100,7
11/17/2020 11:46:00 AM,28.8,28.8,28.8,28.8,100,4
11/17/2020 11:47:00 AM,28.8,28.8,28.79,28.8,1400,5
11/17/2020 11:48:00 AM,28.79,28.79,28.79,28.79,200,30
11/17/2020 11:49:00 AM,28.79,28.82,28.78,28.8,12200,100
11/17/2020 11:50:00 AM,28.79,28.8,28.79,28.8,1400,100
11/17/2020 11:51:00 AM,28.807,28.81,28.8,28.81,3900,75
11/17/2020 11:52:00 AM,28.8,28.8,28.79,28.79,1200,100
11/17/2020 11:53:00 AM,28.8,28.81,28.8,28.8,5000,89
11/17/2020 11:54:00 AM,28.8,28.8,28.8,28.8,600,90
11/17/2020 11:55:00 AM,28.8,28.8,28.79,28.8,700,88
11/17/2020 11:56:00 AM,28.8,28.81,28.79,28.79,8800,56
11/17/2020 11:57:00 AM,28.79,28.8057,28.79,28.8057,100,30
11/17/2020 11:58:00 AM,28.795,28.795,28.765,28.765,3900,25
11/17/2020 11:59:00 AM,28.765,28.79,28.765,28.77,1400,11
11/17/2020 12:00:00 PM,28.77,28.77,28.77,28.77,200,11
11/17/2020 12:01:00 PM,28.785,28.79,28.78,28.79,800,-5
11/17/2020 12:02:00 PM,28.77,28.78,28.77,28.78,1000,10
11/17/2020 12:03:00 PM,28.77,28.79,28.745,28.76,7300,-7
11/17/2020 12:04:00 PM,28.78,28.78,28.77,28.77,400,-33
11/17/2020 12:05:00 PM,28.79,28.79,28.7862,28.7862,200,-64
11/17/2020 12:06:00 PM,28.77,28.77,28.77,28.77,100,-47
11/17/2020 12:07:00 PM,28.77,28.79,28.77,28.79,5500,-39
11/17/2020 12:08:00 PM,28.785,28.79,28.78,28.79,1400,-47
11/17/2020 12:09:00 PM,28.8,28.8,28.78,28.79,1400,-56
11/17/2020 12:10:00 PM,28.78,28.785,28.78,28.78,600,-42
11/17/2020 12:11:00 PM,28.78,28.78,28.78,28.78,100,-41
11/17/2020 12:12:00 PM,28.785,28.785,28.78,28.78,1500,-21
11/17/2020 12:13:00 PM,28.78,28.78,28.78,28.78,0,-17
11/17/2020 12:14:00 PM,28.78,28.785,28.78,28.785,2100,-8
11/17/2020 12:15:00 PM,28.78,28.79,28.78,28.79,7500,19
11/17/2020 12:16:00 PM,28.78,28.85,28.78,28.83,6800,33
11/17/2020 12:17:00 PM,28.855,28.9254,28.855,28.9254,2100,35
11/17/2020 12:18:00 PM,28.9254,29.12,28.9254,29.12,20100,88
11/17/2020 12:19:00 PM,29.12,29.21,29.08,29.145,30500,100
11/17/2020 12:20:00 PM,29.1,29.14,28.96,29.025,16000,89
11/17/2020 12:21:00 PM,29.01,29.0325,29,29.02,9100,77
11/17/2020 12:22:00 PM,29.02,29.03,28.98,28.995,3500,67
11/17/2020 12:23:00 PM,29.02,29.06,29.005,29.06,900,53
11/17/2020 12:24:00 PM,29.06,29.11,29.04,29.08,2100,30
11/17/2020 12:25:00 PM,29.08,29.14,29.065,29.14,2200,5
11/17/2020 12:26:00 PM,29.19,29.19,29.1,29.19,400,-2
11/17/2020 12:27:00 PM,29.1,29.105,29.04,29.065,5600,-24
11/17/2020 12:28:00 PM,29.065,29.065,29.065,29.065,300,-28
11/17/2020 12:29:00 PM,29.065,29.065,29.065,29.065,0,-22
11/17/2020 12:30:00 PM,29.065,29.12,29.06,29.09,5800,-12
11/17/2020 12:31:00 PM,29.09,29.18,29.09,29.155,3400,-24
11/17/2020 12:32:00 PM,29.165,29.22,29.16,29.2,10600,-6
11/17/2020 12:33:00 PM,29.17,29.205,29.17,29.205,1200,-8
11/17/2020 12:34:00 PM,29.21,29.28,29.21,29.25,5500,-31
11/17/2020 12:35:00 PM,29.25,29.315,29.25,29.315,10600,-52
11/17/2020 12:36:00 PM,29.35,29.375,29.33,29.375,4600,17
11/17/2020 12:37:00 PM,29.375,29.41,29.375,29.38,400,47
11/17/2020 12:38:00 PM,29.41,29.42,29.39,29.42,2300,57
11/17/2020 12:39:00 PM,29.4129,29.4129,29.3253,29.36,8600,13
11/17/2020 12:40:00 PM,29.375,29.41,29.37,29.4,3500,17
11/17/2020 12:41:00 PM,29.4,29.4,29.4,29.4,0,12
11/17/2020 12:42:00 PM,29.39,29.39,29.36,29.365,4300,-2
11/17/2020 12:43:00 PM,29.3501,29.37,29.33,29.36,4400,-3
11/17/2020 12:44:00 PM,29.36,29.36,29.36,29.36,0,-6
11/17/2020 12:45:00 PM,29.36,29.36,29.36,29.36,0,-5
11/17/2020 12:46:00 PM,29.36,29.36,29.36,29.36,0,-15
11/17/2020 12:47:00 PM,29.36,29.37,29.32,29.33,5500,-21
11/17/2020 12:48:00 PM,29.33,29.33,29.33,29.33,700,-36
11/17/2020 12:49:00 PM,29.33,29.33,29.27,29.27,2800,-13
11/17/2020 12:50:00 PM,29.27,29.27,29.27,29.27,0,-19
11/17/2020 12:51:00 PM,29.27,29.31,29.25,29.25,4800,-50
11/17/2020 12:52:00 PM,29.25,29.25,29.2,29.2,700,-54
11/17/2020 12:53:00 PM,29.2,29.22,29.2,29.22,300,-56
11/17/2020 12:54:00 PM,29.22,29.22,29.22,29.22,0,-67
11/17/2020 12:55:00 PM,29.22,29.22,29.21,29.21,500,-46
11/17/2020 12:56:00 PM,29.21,29.21,29.19,29.19,800,-61
11/17/2020 12:57:00 PM,29.22,29.22,29.2,29.21,3200,-34
11/17/2020 12:58:00 PM,29.21,29.21,29.16,29.18,4800,-38
11/17/2020 12:59:00 PM,29.17,29.17,29.165,29.165,1500,-31
11/17/2020 1:00:00 PM,29.1849,29.1849,29.1849,29.1849,200,-33
11/17/2020 1:01:00 PM,29.17,29.18,29.16,29.16,3000,-36
11/17/2020 1:02:00 PM,29.18,29.18,29.15,29.17,3000,-22
11/17/2020 1:03:00 PM,29.15,29.17,29.14,29.14,2100,-14
11/17/2020 1:04:00 PM,29.15,29.17,29.15,29.15,1600,-15
11/17/2020 1:05:00 PM,29.1698,29.17,29.16,29.17,5000,0
11/17/2020 1:06:00 PM,29.18,29.18,29.18,29.18,600,-5
11/17/2020 1:07:00 PM,29.18,29.18,29.18,29.18,0,2
11/17/2020 1:08:00 PM,29.18,29.18,29.18,29.18,0,-3
11/17/2020 1:09:00 PM,29.22,29.27,29.185,29.25,5100,13
11/17/2020 1:10:00 PM,29.255,29.255,29.255,29.255,200,6
11/17/2020 1:11:00 PM,29.2558,29.26,29.2558,29.26,400,-8
11/17/2020 1:12:00 PM,29.28,29.28,29.25,29.255,1100,-7
11/17/2020 1:13:00 PM,29.255,29.255,29.235,29.24,2000,-7
11/17/2020 1:14:00 PM,29.235,29.235,29.235,29.235,9700,-33
11/17/2020 1:15:00 PM,29.235,29.25,29.235,29.235,1300,-42
11/17/2020 1:16:00 PM,29.235,29.235,29.2105,29.22,2100,-29
11/17/2020 1:17:00 PM,29.22,29.335,29.22,29.335,7300,-11
11/17/2020 1:18:00 PM,29.31,29.35,29.23,29.27,10800,-44
11/17/2020 1:19:00 PM,29.3,29.32,29.26,29.32,5800,-44
11/17/2020 1:20:00 PM,29.3,29.325,29.27,29.27,8500,-52
11/17/2020 1:21:00 PM,29.27,29.28,29.24,29.2725,6900,-42
11/17/2020 1:22:00 PM,29.29,29.3276,29.29,29.3,3700,-36
11/17/2020 1:23:00 PM,29.3,29.3,29.3,29.3,0,-34
11/17/2020 1:24:00 PM,29.29,29.29,29.29,29.29,200,-13
11/17/2020 1:25:00 PM,29.29,29.32,29.29,29.315,3800,-18
11/17/2020 1:26:00 PM,29.3,29.31,29.3,29.305,1900,8
11/17/2020 1:27:00 PM,29.3,29.3,29.275,29.275,2100,30
11/17/2020 1:28:00 PM,29.296,29.296,29.27,29.27,1400,32
11/17/2020 1:29:00 PM,29.265,29.29,29.265,29.29,5700,30
11/17/2020 1:30:00 PM,29.29,29.29,29.255,29.27,3500,45
