Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,27.25,27.34,27.23,27.32,108800,
11/17/2020 10:32:00 AM,27.32,27.39,27.26,27.39,77600,9
11/17/2020 10:33:00 AM,27.39,27.4485,27.3401,27.44,64700,17
11/17/2020 10:34:00 AM,27.43,27.45,27.35,27.3675,150900,-3
11/17/2020 10:35:00 AM,27.3675,27.54,27.3675,27.48,147000,9
11/17/2020 10:36:00 AM,27.48,27.5,27.3971,27.4,74200,4
11/17/2020 10:37:00 AM,27.4,27.49,27.35,27.49,42100,5
11/17/2020 10:38:00 AM,27.4701,27.51,27.41,27.44,64200,1
11/17/2020 10:39:00 AM,27.4337,27.5,27.42,27.44,67300,1
11/17/2020 10:40:00 AM,27.43,27.5,27.4101,27.4137,26500,2
11/17/2020 10:41:00 AM,27.4137,27.51,27.4137,27.43,51300,4
11/17/2020 10:42:00 AM,27.44,27.45,27.38,27.42,81800,-1
11/17/2020 10:43:00 AM,27.425,27.48,27.41,27.48,38300,-1
11/17/2020 10:44:00 AM,27.49,27.49,27.4136,27.445,72300,-5
11/17/2020 10:45:00 AM,27.44,27.45,27.41,27.44,54500,-7
11/17/2020 10:46:00 AM,27.44,27.45,27.3701,27.3999,79600,-10
11/17/2020 10:47:00 AM,27.3701,27.44,27.3701,27.42,17500,-21
11/17/2020 10:48:00 AM,27.42,27.4783,27.41,27.42,35400,-25
11/17/2020 10:49:00 AM,27.43,27.5,27.41,27.43,68100,-22
11/17/2020 10:50:00 AM,27.43,27.5,27.43,27.47,31600,-17
11/17/2020 10:51:00 AM,27.47,27.5,27.43,27.4985,31600,-38
11/17/2020 10:52:00 AM,27.4985,27.55,27.49,27.51,43500,-36
11/17/2020 10:53:00 AM,27.52,27.6,27.49,27.5532,45500,-36
11/17/2020 10:54:00 AM,27.54,27.54,27.5,27.51,35200,-27
11/17/2020 10:55:00 AM,27.54,27.59,27.52,27.58,34300,-29
11/17/2020 10:56:00 AM,27.57,27.7,27.5619,27.6101,76300,-30
11/17/2020 10:57:00 AM,27.6299,27.68,27.555,27.605,41900,-25
11/17/2020 10:58:00 AM,27.61,27.71,27.6001,27.71,51100,-17
11/17/2020 10:59:00 AM,27.68,27.74,27.62,27.635,68300,-20
11/17/2020 11:00:00 AM,27.635,27.6589,27.58,27.59,27600,-8
11/17/2020 11:01:00 AM,27.59,27.615,27.43,27.44,61900,-11
11/17/2020 11:02:00 AM,27.44,27.57,27.43,27.55,52700,-2
11/17/2020 11:03:00 AM,27.55,27.59,27.54,27.565,45200,1
11/17/2020 11:04:00 AM,27.565,27.59,27.54,27.57,26500,-2
11/17/2020 11:05:00 AM,27.57,27.5972,27.54,27.5701,29100,-8
11/17/2020 11:06:00 AM,27.57,27.74,27.57,27.71,44100,-7
11/17/2020 11:07:00 AM,27.71,27.75,27.693,27.72,45800,-5
11/17/2020 11:08:00 AM,27.72,27.72,27.6501,27.69,23400,4
11/17/2020 11:09:00 AM,27.69,27.75,27.66,27.66,39100,4
11/17/2020 11:10:00 AM,27.67,27.6803,27.61,27.6101,24200,9
11/17/2020 11:11:00 AM,27.62,27.64,27.54,27.55,39200,10
11/17/2020 11:12:00 AM,27.55,27.61,27.48,27.59,70900,11
11/17/2020 11:13:00 AM,27.59,27.64,27.5225,27.54,15700,19
11/17/2020 11:14:00 AM,27.52,27.623,27.503,27.6152,34300,15
11/17/2020 11:15:00 AM,27.6152,27.63,27.59,27.61,17800,26
11/17/2020 11:16:00 AM,27.6081,27.65,27.52,27.535,21700,28
11/17/2020 11:17:00 AM,27.52,27.6,27.5,27.57,18200,29
11/17/2020 11:18:00 AM,27.5899,27.6763,27.58,27.625,33900,25
11/17/2020 11:19:00 AM,27.65,27.69,27.61,27.65,17700,19
11/17/2020 11:20:00 AM,27.65,27.69,27.63,27.675,17000,16
11/17/2020 11:21:00 AM,27.675,27.73,27.675,27.695,39800,18
11/17/2020 11:22:00 AM,27.692,27.76,27.68,27.75,59600,22
11/17/2020 11:23:00 AM,27.7435,27.76,27.71,27.735,23300,23
11/17/2020 11:24:00 AM,27.727,27.76,27.72,27.76,32500,21
11/17/2020 11:25:00 AM,27.76,27.85,27.74,27.84,55500,29
11/17/2020 11:26:00 AM,27.84,27.85,27.78,27.8363,33400,26
11/17/2020 11:27:00 AM,27.8363,27.84,27.7438,27.815,52200,19
11/17/2020 11:28:00 AM,27.815,27.8936,27.8001,27.8936,76000,22
11/17/2020 11:29:00 AM,27.88,27.92,27.8701,27.91,31000,16
11/17/2020 11:30:00 AM,27.91,27.94,27.9,27.9361,49400,19
11/17/2020 11:31:00 AM,27.9361,28.1,27.93,28.085,193100,52
11/17/2020 11:32:00 AM,28.0767,28.17,28.01,28.153,104500,69
11/17/2020 11:33:00 AM,28.153,28.18,28.07,28.08,63300,48
11/17/2020 11:34:00 AM,28.08,28.14,28.06,28.1,41000,47
11/17/2020 11:35:00 AM,28.11,28.16,28.0819,28.105,46600,51
11/17/2020 11:36:00 AM,28.1,28.16,28.09,28.155,56500,60
11/17/2020 11:37:00 AM,28.157,28.16,28.08,28.16,39900,58
11/17/2020 11:38:00 AM,28.1567,28.25,28.15,28.245,111400,67
11/17/2020 11:39:00 AM,28.245,28.2978,28.19,28.2789,85900,81
11/17/2020 11:40:00 AM,28.27,28.33,28.25,28.29,49200,81
11/17/2020 11:41:00 AM,28.3,28.3,28.25,28.265,62300,55
11/17/2020 11:42:00 AM,28.26,28.26,28.0901,28.1025,50700,46
11/17/2020 11:43:00 AM,28.09,28.09,27.95,28.02,91900,20
11/17/2020 11:44:00 AM,28.037,28.06,28.02,28.0374,47500,17
11/17/2020 11:45:00 AM,28.04,28.07,28.01,28.04,59000,23
11/17/2020 11:46:00 AM,28.06,28.17,28,28.17,35300,22
11/17/2020 11:47:00 AM,28.165,28.36,28.165,28.283,89800,11
11/17/2020 11:48:00 AM,28.3,28.36,28.28,28.335,59900,9
11/17/2020 11:49:00 AM,28.335,28.38,28.3101,28.37,83800,35
11/17/2020 11:50:00 AM,28.37,28.48,28.34,28.46,55400,38
11/17/2020 11:51:00 AM,28.48,28.535,28.39,28.497,112300,48
11/17/2020 11:52:00 AM,28.5,28.56,28.47,28.49,61000,26
11/17/2020 11:53:00 AM,28.51,28.51,28.37,28.386,45400,18
11/17/2020 11:54:00 AM,28.3759,28.54,28.3759,28.526,72000,13
11/17/2020 11:55:00 AM,28.526,28.57,28.45,28.49,71200,8
11/17/2020 11:56:00 AM,28.49,28.55,28.48,28.53,48800,6
11/17/2020 11:57:00 AM,28.53,28.6,28.48,28.51,96600,-6
11/17/2020 11:58:00 AM,28.52,28.55,28.45,28.53,36400,-16
11/17/2020 11:59:00 AM,28.53,28.6,28.52,28.555,49100,0
11/17/2020 12:00:00 PM,28.555,28.59,28.5114,28.5114,35200,2
11/17/2020 12:01:00 PM,28.52,28.655,28.5101,28.62,60900,3
11/17/2020 12:02:00 PM,28.63,28.65,28.57,28.63,54500,5
11/17/2020 12:03:00 PM,28.63,28.68,28.5948,28.64,44000,-3
11/17/2020 12:04:00 PM,28.635,28.7,28.6,28.63,43300,4
11/17/2020 12:05:00 PM,28.64,28.71,28.62,28.71,49800,-2
11/17/2020 12:06:00 PM,28.7001,28.77,28.69,28.7399,80900,3
11/17/2020 12:07:00 PM,28.7399,28.81,28.69,28.73,99200,-18
11/17/2020 12:08:00 PM,28.73,28.74,28.62,28.68,52900,-15
11/17/2020 12:09:00 PM,28.69,28.72,28.68,28.71,52100,-20
11/17/2020 12:10:00 PM,28.71,28.73,28.61,28.63,47700,-17
11/17/2020 12:11:00 PM,28.63,28.65,28.54,28.55,97900,-25
11/17/2020 12:12:00 PM,28.565,28.565,28.4223,28.4223,65000,-24
11/17/2020 12:13:00 PM,28.45,28.48,28.38,28.38,56100,-16
11/17/2020 12:14:00 PM,28.38,28.3934,28.31,28.3451,50100,-9
11/17/2020 12:15:00 PM,28.3451,28.465,28.33,28.4577,53900,-9
11/17/2020 12:16:00 PM,28.4577,28.49,28.3993,28.45,58300,-12
11/17/2020 12:17:00 PM,28.45,28.45,28.34,28.4,32000,-7
11/17/2020 12:18:00 PM,28.385,28.43,28.31,28.313,61800,-11
11/17/2020 12:19:00 PM,28.31,28.4,28.26,28.28,60000,-24
11/17/2020 12:20:00 PM,28.28,28.35,28.27,28.298,34200,-15
11/17/2020 12:21:00 PM,28.298,28.36,28.26,28.3301,39800,-20
11/17/2020 12:22:00 PM,28.36,28.36,28.3,28.3399,30300,-36
11/17/2020 12:23:00 PM,28.3399,28.42,28.3399,28.42,35900,-32
11/17/2020 12:24:00 PM,28.42,28.43,28.38,28.4,30800,-27
