Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,18.59,18.59,18.4771,18.4771,200,
11/17/2020 10:32:00 AM,18.4771,18.4771,18.4751,18.4751,300,-13
11/17/2020 10:33:00 AM,18.4751,18.5412,18.4751,18.5412,300,0
11/17/2020 10:34:00 AM,18.5412,18.75,18.5,18.75,2000,28
11/17/2020 10:35:00 AM,18.75,19.12,18.5446,18.81,17200,41
11/17/2020 10:36:00 AM,18.81,18.81,18.4739,18.5201,800,45
11/17/2020 10:37:00 AM,18.5201,18.5201,18.5201,18.5201,0,52
11/17/2020 10:38:00 AM,18.6496,18.7165,18.6496,18.7165,1400,55
11/17/2020 10:39:00 AM,18.7165,18.7165,18.41,18.45,4700,37
11/17/2020 10:40:00 AM,18.45,18.45,18.3997,18.3997,400,41
11/17/2020 10:41:00 AM,18.3997,18.3997,18.3997,18.3997,0,45
11/17/2020 10:42:00 AM,18.3545,18.3545,18.2745,18.2745,800,47
11/17/2020 10:43:00 AM,18.2745,18.2745,18.0683,18.0683,4100,34
11/17/2020 10:44:00 AM,18.0683,18.31,18.0683,18.22,3400,39
11/17/2020 10:45:00 AM,18.22,18.2588,18.22,18.2588,300,37
11/17/2020 10:46:00 AM,18.2588,18.285,18.2588,18.2641,2100,38
11/17/2020 10:47:00 AM,18.198,18.2,18.198,18.2,1100,77
11/17/2020 10:48:00 AM,18.2,18.2067,18.2,18.2067,200,52
11/17/2020 10:49:00 AM,18.28,18.48,18.27,18.27,2900,64
11/17/2020 10:50:00 AM,18.27,18.385,18.27,18.385,900,50
11/17/2020 10:51:00 AM,18.385,18.56,18.385,18.56,1400,-19
11/17/2020 10:52:00 AM,18.5752,18.5752,18.5752,18.5752,100,-39
11/17/2020 10:53:00 AM,18.5752,18.8,18.5752,18.8,4100,-24
11/17/2020 10:54:00 AM,18.765,18.88,18.64,18.64,2100,-21
11/17/2020 10:55:00 AM,18.64,18.64,18.64,18.64,200,0
11/17/2020 10:56:00 AM,18.6,18.707,18.6,18.7,1900,-6
11/17/2020 10:57:00 AM,18.7,18.76,18.7,18.76,400,-4
11/17/2020 10:58:00 AM,18.76,18.76,18.76,18.76,100,0
11/17/2020 10:59:00 AM,18.6604,18.6604,18.6604,18.6604,400,37
11/17/2020 11:00:00 AM,18.6604,18.6604,18.6604,18.6604,0,28
11/17/2020 11:01:00 AM,18.6604,18.6604,18.48,18.5,5600,-44
11/17/2020 11:02:00 AM,18.5,18.5,18.5,18.5,100,-52
11/17/2020 11:03:00 AM,18.5,18.5,18.475,18.48,400,-36
11/17/2020 11:04:00 AM,18.48,18.5243,18.454,18.454,600,-7
11/17/2020 11:05:00 AM,18.454,18.62,18.454,18.62,1300,-21
11/17/2020 11:06:00 AM,18.62,18.74,18.62,18.72,600,-26
11/17/2020 11:07:00 AM,18.72,18.7299,18.72,18.7299,100,-37
11/17/2020 11:08:00 AM,18.655,18.655,18.3,18.59,5200,-66
11/17/2020 11:09:00 AM,18.59,18.59,18.59,18.59,0,-94
11/17/2020 11:10:00 AM,18.59,18.59,18.59,18.59,0,-99
11/17/2020 11:11:00 AM,18.59,18.64,18.5,18.64,400,-100
11/17/2020 11:12:00 AM,18.64,18.64,18.64,18.64,0,-100
11/17/2020 11:13:00 AM,18.64,18.64,18.64,18.64,100,-100
11/17/2020 11:14:00 AM,18.64,18.64,18.48,18.59,200,-93
11/17/2020 11:15:00 AM,18.5623,18.5623,18.5623,18.5623,200,-87
11/17/2020 11:16:00 AM,18.5623,18.5623,18.5623,18.5623,0,-87
11/17/2020 11:17:00 AM,18.5623,18.5623,18.5623,18.5623,0,-47
11/17/2020 11:18:00 AM,18.475,18.57,18.475,18.57,500,-51
11/17/2020 11:19:00 AM,18.57,18.67,18.57,18.67,1000,-58
11/17/2020 11:20:00 AM,18.67,18.815,18.67,18.75,1900,-56
11/17/2020 11:21:00 AM,18.75,18.75,18.75,18.75,100,-63
11/17/2020 11:22:00 AM,18.75,18.8314,18.75,18.8314,1000,-59
11/17/2020 11:23:00 AM,18.92,18.92,18.771,18.771,200,-17
11/17/2020 11:24:00 AM,18.771,18.771,18.771,18.771,0,58
11/17/2020 11:25:00 AM,18.8357,18.95,18.8357,18.95,1100,60
11/17/2020 11:26:00 AM,18.95,18.95,18.95,18.95,0,61
11/17/2020 11:27:00 AM,18.9499,18.9499,18.9499,18.9499,100,72
11/17/2020 11:28:00 AM,18.95,18.9799,18.9494,18.9799,1000,71
11/17/2020 11:29:00 AM,18.9799,19,18.72,19,7800,100
11/17/2020 11:30:00 AM,19,19,19,19,500,100
11/17/2020 11:31:00 AM,19,19,18.77,18.77,1800,100
11/17/2020 11:32:00 AM,18.77,18.98,18.77,18.98,1500,96
11/17/2020 11:33:00 AM,19,19,19,19,400,87
11/17/2020 11:34:00 AM,19,19,19,19,400,98
11/17/2020 11:35:00 AM,19,19,18.7991,18.89,300,100
11/17/2020 11:36:00 AM,18.89,18.99,18.791,18.99,900,97
11/17/2020 11:37:00 AM,19,19,18.71,18.71,4600,33
11/17/2020 11:38:00 AM,18.71,18.71,18.71,18.71,100,35
11/17/2020 11:39:00 AM,18.71,18.8299,18.71,18.8299,300,-4
