Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,99.52,99.52,99.52,99.52,0,
11/17/2020 10:32:00 AM,99.52,99.52,99.52,99.52,0,0
11/17/2020 10:33:00 AM,99.52,99.52,99.52,99.52,0,0
11/17/2020 10:34:00 AM,99.60999,99.60999,99.53999,99.60999,500,40
11/17/2020 10:35:00 AM,99.60999,100.09,99.60999,100.05,2600,44
11/17/2020 10:36:00 AM,99.925,100.19,99.81001,100.19,2500,49
11/17/2020 10:37:00 AM,100.19,100.19,99.96999,99.96999,900,38
11/17/2020 10:38:00 AM,99.97,100.02,99.85001,100.02,700,42
11/17/2020 10:39:00 AM,100.01,100.15,100.01,100.12,800,45
11/17/2020 10:40:00 AM,100.05,100.205,100.05,100.205,500,47
11/17/2020 10:41:00 AM,100.34,100.34,100.225,100.225,400,49
11/17/2020 10:42:00 AM,100.225,100.33,100.225,100.32,200,49
11/17/2020 10:43:00 AM,100.32,100.32,99.925,100.16,1100,35
11/17/2020 10:44:00 AM,100,100,99.92001,99.92001,400,34
11/17/2020 10:45:00 AM,99.92001,99.92001,99.9,99.9,200,36
11/17/2020 10:46:00 AM,99.885,99.99001,99.86501,99.9,600,36
11/17/2020 10:47:00 AM,99.9,99.91,99.89001,99.89001,900,41
11/17/2020 10:48:00 AM,99.89001,99.89001,99.885,99.885,400,48
11/17/2020 10:49:00 AM,99.885,100.01,99.885,100.01,700,45
11/17/2020 10:50:00 AM,100.01,100.01,100.01,100.01,0,53
11/17/2020 10:51:00 AM,100.01,100.33,100.01,100.33,2900,60
11/17/2020 10:52:00 AM,100.34,100.415,100.34,100.415,400,31
11/17/2020 10:53:00 AM,100.415,100.51,100.415,100.51,500,32
11/17/2020 10:54:00 AM,100.51,100.51,100.37,100.4,1400,10
11/17/2020 10:55:00 AM,100.4,100.4,100.4,100.4,0,12
11/17/2020 10:56:00 AM,100.4,100.4,100.06,100.15,1300,7
11/17/2020 10:57:00 AM,100.21,100.24,100.21,100.24,300,-2
11/17/2020 10:58:00 AM,100.24,100.24,100.24,100.24,0,13
11/17/2020 10:59:00 AM,100.135,100.19,99.93001,100.19,2300,-15
11/17/2020 11:00:00 AM,100.17,100.512,100.16,100.512,2400,4
11/17/2020 11:01:00 AM,100.512,100.512,100.22,100.37,400,8
11/17/2020 11:02:00 AM,100.37,100.39,100.07,100.39,1800,22
11/17/2020 11:03:00 AM,100.39,100.51,100.25,100.36,1400,9
11/17/2020 11:04:00 AM,100.5,100.5,100.36,100.36,300,-5
11/17/2020 11:05:00 AM,100.36,100.36,100.27,100.27,200,33
11/17/2020 11:06:00 AM,100.265,100.27,100.265,100.27,300,32
11/17/2020 11:07:00 AM,100.27,100.535,100.27,100.535,300,-19
11/17/2020 11:08:00 AM,100.535,100.69,100.535,100.58,2000,14
11/17/2020 11:09:00 AM,100.68,100.81,100.57,100.8,2400,49
11/17/2020 11:10:00 AM,100.64,100.64,100.64,100.64,500,68
11/17/2020 11:11:00 AM,100.86,100.99,100.83,100.99,1500,66
11/17/2020 11:12:00 AM,100.97,101.11,100.8,101.11,1400,69
11/17/2020 11:13:00 AM,101.11,101.11,101.01,101.045,700,89
11/17/2020 11:14:00 AM,101.01,101.03,100.98,101.01,2200,63
11/17/2020 11:15:00 AM,101.01,101.05,101,101.05,300,59
11/17/2020 11:16:00 AM,101.03,101.13,101.03,101.04,1000,46
11/17/2020 11:17:00 AM,101.04,101.13,101.04,101.125,1400,37
11/17/2020 11:18:00 AM,101.14,101.28,101.14,101.28,2100,43
11/17/2020 11:19:00 AM,101.3,101.33,101.22,101.27,1100,47
11/17/2020 11:20:00 AM,101.285,101.46,101.21,101.41,2500,59
11/17/2020 11:21:00 AM,101.41,101.495,101.39,101.43,2600,57
11/17/2020 11:22:00 AM,101.43,101.43,101.42,101.42,500,69
11/17/2020 11:23:00 AM,101.42,101.42,101.245,101.36,2800,52
11/17/2020 11:24:00 AM,101.36,101.4,101.36,101.4,400,33
11/17/2020 11:25:00 AM,101.38,101.4,101.27,101.39,2700,2
11/17/2020 11:26:00 AM,101.445,101.445,101.405,101.405,300,-23
11/17/2020 11:27:00 AM,101.405,101.53,101.405,101.47,700,-32
11/17/2020 11:28:00 AM,101.43,101.5,101.33,101.4,3000,-54
11/17/2020 11:29:00 AM,101.64,101.64,101.49,101.49,1600,-60
11/17/2020 11:30:00 AM,101.51,101.62,101.45,101.45,2200,-60
11/17/2020 11:31:00 AM,101.45,101.45,101.39,101.39,800,-37
11/17/2020 11:32:00 AM,101.39,101.39,101.33,101.34,500,-27
11/17/2020 11:33:00 AM,101.31,101.35,101.27,101.35,2400,-13
11/17/2020 11:34:00 AM,101.35,101.35,101.28,101.28,500,-5
11/17/2020 11:35:00 AM,101.23,101.28,101.18,101.23,600,3
11/17/2020 11:36:00 AM,101.23,101.23,101.225,101.225,100,4
11/17/2020 11:37:00 AM,101.225,101.225,101.1,101.18,2000,-21
11/17/2020 11:38:00 AM,101.18,101.24,101.18,101.23,1500,-21
11/17/2020 11:39:00 AM,101.23,101.4,101.23,101.4,400,-23
11/17/2020 11:40:00 AM,101.4,101.51,101.4,101.51,700,-20
11/17/2020 11:41:00 AM,101.5,101.5,101.38,101.38,1300,-10
11/17/2020 11:42:00 AM,101.38,101.38,101.38,101.38,100,0
11/17/2020 11:43:00 AM,101.4678,101.4678,101.32,101.4,900,2
11/17/2020 11:44:00 AM,101.37,101.4,101.35,101.4,1000,16
11/17/2020 11:45:00 AM,101.4,101.55,101.4,101.55,600,3
11/17/2020 11:46:00 AM,101.55,101.55,101.48,101.48,500,23
11/17/2020 11:47:00 AM,101.48,101.55,101.45,101.55,1500,29
11/17/2020 11:48:00 AM,101.48,101.49,101.45,101.47,1100,20
11/17/2020 11:49:00 AM,101.47,101.59,101.47,101.59,800,5
11/17/2020 11:50:00 AM,101.59,101.605,101.58,101.58,900,-1
11/17/2020 11:51:00 AM,101.58,101.64,101.58,101.6,1200,-2
11/17/2020 11:52:00 AM,101.59,101.64,101.59,101.64,200,-23
11/17/2020 11:53:00 AM,101.64,101.64,101.62,101.62,400,5
11/17/2020 11:54:00 AM,101.62,101.62,101.59,101.61,2000,-21
11/17/2020 11:55:00 AM,101.61,101.61,101.56,101.56,300,-6
11/17/2020 11:56:00 AM,101.56,101.57,101.56,101.57,500,-10
11/17/2020 11:57:00 AM,101.57,101.57,101.57,101.57,0,-4
11/17/2020 11:58:00 AM,101.57,101.57,101.51,101.51,400,3
11/17/2020 11:59:00 AM,101.51,101.63,101.51,101.6,1000,4
11/17/2020 12:00:00 PM,101.62,101.63,101.62,101.63,600,0
