Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,282.63,283.14,282.63,283,3400,
11/17/2020 10:32:00 AM,283,283.18,282.84,282.97,4400,-13
11/17/2020 10:33:00 AM,282.97,282.97,282.5,282.57,2200,-7
11/17/2020 10:34:00 AM,282.2827,282.52,282.17,282.2373,2000,-13
11/17/2020 10:35:00 AM,282.2373,282.49,282.2,282.49,5400,3
11/17/2020 10:36:00 AM,282.49,282.76,282.49,282.6589,2000,7
11/17/2020 10:37:00 AM,282.6589,282.76,282.645,282.76,2900,13
11/17/2020 10:38:00 AM,282.76,282.93,282.6669,282.785,1300,14
11/17/2020 10:39:00 AM,282.785,283.19,282.77,282.93,4300,21
11/17/2020 10:40:00 AM,282.93,283.1,282.7942,283.09,2900,25
11/17/2020 10:41:00 AM,283.09,283.44,283.09,283.155,14200,38
11/17/2020 10:42:00 AM,283.155,283.27,283.04,283.05,8500,19
11/17/2020 10:43:00 AM,283.05,283.1927,283,283.17,3000,21
11/17/2020 10:44:00 AM,283.17,283.17,282.1,282.87,10100,3
11/17/2020 10:45:00 AM,282.715,282.83,282.65,282.71,7400,-5
11/17/2020 10:46:00 AM,282.75,282.82,282.705,282.705,3700,-7
11/17/2020 10:47:00 AM,282.78,283.015,282.74,283.015,7900,-15
11/17/2020 10:48:00 AM,283.015,283.1,283,283.06,3800,-21
11/17/2020 10:49:00 AM,283.0295,283.49,283.0295,283.48,7400,-27
11/17/2020 10:50:00 AM,283.3133,283.325,282.95,282.95,5000,-34
11/17/2020 10:51:00 AM,282.95,283.45,282.827,283.45,3600,-37
11/17/2020 10:52:00 AM,283.45,283.775,283.41,283.41,4800,-25
11/17/2020 10:53:00 AM,283.41,283.79,283.27,283.68,3600,-26
11/17/2020 10:54:00 AM,283.68,284,283.505,283.745,9200,-9
11/17/2020 10:55:00 AM,283.745,283.96,283.52,283.785,2600,-14
11/17/2020 10:56:00 AM,283.785,283.83,283.51,283.77,5600,-7
11/17/2020 10:57:00 AM,283.61,283.67,283.53,283.61,2500,-12
11/17/2020 10:58:00 AM,283.61,283.7533,283.5465,283.7533,1900,-14
11/17/2020 10:59:00 AM,283.7533,283.76,283.54,283.65,3200,-3
11/17/2020 11:00:00 AM,283.65,284,283.415,283.8204,8000,16
11/17/2020 11:01:00 AM,283.8204,284.24,283.8,284.23,5600,25
11/17/2020 11:02:00 AM,284.24,284.49,284.03,284.49,7800,29
11/17/2020 11:03:00 AM,284.49,284.49,284.17,284.17,3400,28
11/17/2020 11:04:00 AM,284.17,284.265,283.94,283.99,1600,40
11/17/2020 11:05:00 AM,283.99,284.2174,283.645,283.645,2200,42
11/17/2020 11:06:00 AM,283.645,283.645,283.25,283.48,2000,49
11/17/2020 11:07:00 AM,283.48,283.48,283.02,283.09,5100,49
11/17/2020 11:08:00 AM,283.09,283.24,283.09,283.215,1700,40
11/17/2020 11:09:00 AM,283.205,283.33,283.205,283.275,2600,34
11/17/2020 11:10:00 AM,283.275,283.28,283.17,283.2787,2100,18
11/17/2020 11:11:00 AM,283.2787,283.36,283.13,283.25,2100,24
11/17/2020 11:12:00 AM,283.25,283.74,283.21,283.74,3600,28
11/17/2020 11:13:00 AM,283.74,284.28,283.6501,284.27,5900,33
11/17/2020 11:14:00 AM,284.27,284.39,284.04,284.08,6800,25
11/17/2020 11:15:00 AM,284.17,284.35,284.01,284.22,8300,34
11/17/2020 11:16:00 AM,284.22,284.65,284.22,284.6,4100,26
11/17/2020 11:17:00 AM,284.6,284.75,284.5,284.69,3900,22
11/17/2020 11:18:00 AM,284.69,284.85,284.54,284.69,4800,15
11/17/2020 11:19:00 AM,284.66,284.74,284.6094,284.69,4000,15
11/17/2020 11:20:00 AM,284.69,284.75,284.6316,284.75,1400,1
11/17/2020 11:21:00 AM,284.74,284.75,284.455,284.455,10000,-38
11/17/2020 11:22:00 AM,284.3987,284.78,284.3987,284.64,4300,-46
11/17/2020 11:23:00 AM,284.64,285,284.64,285,7000,-13
11/17/2020 11:24:00 AM,285,285.1,284.465,284.98,28700,-100
11/17/2020 11:25:00 AM,284.98,285.125,284.68,284.94,6400,-100
11/17/2020 11:26:00 AM,284.94,285.04,284.54,284.85,5700,-100
11/17/2020 11:27:00 AM,284.85,284.93,284.79,284.84,4100,-100
11/17/2020 11:28:00 AM,284.76,284.92,284.76,284.84,3200,-100
11/17/2020 11:29:00 AM,284.84,285.3,284.72,285.3,3000,-100
11/17/2020 11:30:00 AM,285.3,285.305,284.71,284.8589,6800,-100
11/17/2020 11:31:00 AM,284.92,285.21,284.74,285.19,9600,-100
11/17/2020 11:32:00 AM,285.19,285.3,285.15,285.29,3200,-100
11/17/2020 11:33:00 AM,285.21,285.38,285.14,285.37,5000,-100
11/17/2020 11:34:00 AM,285.37,285.88,285.25,285.6192,4800,-100
11/17/2020 11:35:00 AM,285.6192,285.77,285.5,285.74,6200,-99
11/17/2020 11:36:00 AM,285.74,285.85,285.64,285.64,7400,-80
11/17/2020 11:37:00 AM,285.64,285.7,285.525,285.7,2400,-88
11/17/2020 11:38:00 AM,285.7,286.1,285.55,286.09,13400,-66
11/17/2020 11:39:00 AM,286.0176,286.09,285.8,285.8,2900,-44
11/17/2020 11:40:00 AM,285.7,285.89,285.61,285.7,3200,18
11/17/2020 11:41:00 AM,285.7,286.18,285.6479,286.16,7800,25
11/17/2020 11:42:00 AM,286.1599,286.1599,285.61,285.7899,3600,33
11/17/2020 11:43:00 AM,285.7899,286.11,285.7899,286.11,3500,25
11/17/2020 11:44:00 AM,286.1099,286.9999,285.9999,286.9999,14400,41
11/17/2020 11:45:00 AM,286.8199,287.2499,286.6299,287.2499,4500,43
11/17/2020 11:46:00 AM,287.25,287.49,286.96,286.99,6200,43
11/17/2020 11:47:00 AM,287.05,287.42,286.89,286.89,5200,36
11/17/2020 11:48:00 AM,286.89,287.12,286.66,286.75,2700,48
11/17/2020 11:49:00 AM,286.75,286.92,286.48,286.48,2400,60
11/17/2020 11:50:00 AM,286.48,286.7,286.12,286.36,3700,65
11/17/2020 11:51:00 AM,286.36,286.36,285.14,285.16,10000,55
11/17/2020 11:52:00 AM,285.16,285.34,284.18,284.18,9800,50
11/17/2020 11:53:00 AM,284.18,284.345,283.86,283.87,4500,58
11/17/2020 11:54:00 AM,283.87,283.96,283.19,283.3069,14000,-2
11/17/2020 11:55:00 AM,283.3069,283.7285,283.17,283.2844,6400,-7
11/17/2020 11:56:00 AM,283.2844,283.81,283.2844,283.77,6400,11
11/17/2020 11:57:00 AM,283.77,284.49,283.635,284.345,4700,4
11/17/2020 11:58:00 AM,284.345,285.02,284.29,284.88,8700,8
11/17/2020 11:59:00 AM,284.88,284.88,284.495,284.695,3000,22
11/17/2020 12:00:00 PM,284.695,284.92,284.585,284.855,800,-22
11/17/2020 12:01:00 PM,284.855,284.96,284.695,284.9156,4300,-24
11/17/2020 12:02:00 PM,284.9156,285,284.76,285,3500,-30
11/17/2020 12:03:00 PM,285,285,284.7,284.745,3300,-23
11/17/2020 12:04:00 PM,284.745,284.91,284.52,284.84,14100,-2
11/17/2020 12:05:00 PM,284.84,285.15,284.75,285.1,6100,-11
11/17/2020 12:06:00 PM,285.1,285.1,284.88,284.98,3900,-7
11/17/2020 12:07:00 PM,284.98,284.98,284.39,284.62,6800,-2
11/17/2020 12:08:00 PM,284.62,285.24,284.62,285.24,3600,0
11/17/2020 12:09:00 PM,285.165,285.165,284.7764,284.87,4400,3
11/17/2020 12:10:00 PM,284.87,285.33,284.87,285.33,4700,19
11/17/2020 12:11:00 PM,285.33,285.33,285,285.05,3100,29
11/17/2020 12:12:00 PM,285.05,285.08,284.93,285.08,3700,24
11/17/2020 12:13:00 PM,285.08,285.568,285.08,285.568,2900,19
11/17/2020 12:14:00 PM,285.505,285.6,285.4,285.4,3900,14
11/17/2020 12:15:00 PM,285.45,286.025,285.45,286,4700,11
11/17/2020 12:16:00 PM,286,286.05,285.75,285.7975,5800,13
11/17/2020 12:17:00 PM,285.845,286.4,285.76,286.4,6800,18
11/17/2020 12:18:00 PM,286.4,286.7198,286.4,286.54,2300,14
11/17/2020 12:19:00 PM,286.54,286.59,285.9585,285.9585,3400,15
11/17/2020 12:20:00 PM,285.9585,286.18,285.9585,286.0747,1800,-9
11/17/2020 12:21:00 PM,286.025,286.025,284.74,284.95,10200,-28
11/17/2020 12:22:00 PM,284.95,285.48,284.95,285.48,3200,-33
11/17/2020 12:23:00 PM,285.48,285.48,285.14,285.2824,2900,-23
11/17/2020 12:24:00 PM,285.2824,285.2824,285.14,285.14,800,-11
11/17/2020 12:25:00 PM,285.14,285.29,284.935,285,2800,-7
11/17/2020 12:26:00 PM,285.0444,285.52,285.0444,285.52,2000,-14
11/17/2020 12:27:00 PM,285.52,285.52,285.23,285.23,900,-7
11/17/2020 12:28:00 PM,285.23,285.6,285.23,285.55,2100,-11
11/17/2020 12:29:00 PM,285.55,285.71,285.38,285.38,2200,-7
11/17/2020 12:30:00 PM,285.38,285.38,285.38,285.38,500,-6
11/17/2020 12:31:00 PM,285.38,285.65,285.38,285.55,2700,-11
11/17/2020 12:32:00 PM,285.55,285.575,285.51,285.51,1100,0
11/17/2020 12:33:00 PM,285.51,285.54,285.17,285.54,4100,-5
11/17/2020 12:34:00 PM,285.45,285.65,285.4,285.575,1400,-8
11/17/2020 12:35:00 PM,285.575,285.75,285.575,285.67,2900,-6
11/17/2020 12:36:00 PM,285.67,285.67,285.39,285.4,1600,0
11/17/2020 12:37:00 PM,285.4,285.4,285.08,285.2,3000,15
11/17/2020 12:38:00 PM,285.2,285.215,285.15,285.17,1300,15
11/17/2020 12:39:00 PM,285.17,285.42,285.17,285.2401,3400,19
11/17/2020 12:40:00 PM,285.24,285.24,285.07,285.13,2000,18
11/17/2020 12:41:00 PM,285.13,285.27,285.09,285.27,1100,15
11/17/2020 12:42:00 PM,285.27,285.27,285.12,285.225,1200,17
11/17/2020 12:43:00 PM,285.225,285.34,285.225,285.275,2000,14
11/17/2020 12:44:00 PM,285.275,285.44,285.235,285.44,3000,17
11/17/2020 12:45:00 PM,285.44,285.74,285.4126,285.68,2900,18
11/17/2020 12:46:00 PM,285.74,285.74,285.57,285.74,3000,20
11/17/2020 12:47:00 PM,285.74,285.77,285.66,285.77,2300,19
11/17/2020 12:48:00 PM,285.745,285.8,285.63,285.8,4900,21
11/17/2020 12:49:00 PM,285.8,286,285.74,285.925,2500,21
11/17/2020 12:50:00 PM,285.925,286.2,285.925,286.08,3200,24
11/17/2020 12:51:00 PM,286.08,286.33,286.02,286.33,2600,24
11/17/2020 12:52:00 PM,286.33,286.57,286.33,286.57,4300,35
11/17/2020 12:53:00 PM,286.57,286.6,286.53,286.595,1100,43
11/17/2020 12:54:00 PM,286.595,286.66,286.53,286.59,3200,31
11/17/2020 12:55:00 PM,286.59,286.59,286.45,286.452,3900,10
11/17/2020 12:56:00 PM,286.452,286.5,286.29,286.485,3900,20
11/17/2020 12:57:00 PM,286.4,286.59,286.34,286.4425,5500,-5
11/17/2020 12:58:00 PM,286.4425,286.4425,286.2518,286.4399,2800,-14
11/17/2020 12:59:00 PM,286.4399,286.53,286.38,286.52,6500,-4
11/17/2020 1:00:00 PM,286.52,286.53,286.45,286.5,3500,-7
11/17/2020 1:01:00 PM,286.5,286.69,286.35,286.69,11600,13
11/17/2020 1:02:00 PM,286.69,287.5,286.69,287.29,20500,52
11/17/2020 1:03:00 PM,287.29,287.42,287.19,287.33,2400,51
11/17/2020 1:04:00 PM,287.33,287.375,287.25,287.31,2300,59
11/17/2020 1:05:00 PM,287.31,287.38,287.3,287.3082,2700,68
11/17/2020 1:06:00 PM,287.3082,287.48,287.3082,287.45,2400,65
11/17/2020 1:07:00 PM,287.45,287.85,287.37,287.6557,4100,65
11/17/2020 1:08:00 PM,287.6557,288.06,287.6557,288,5900,67
11/17/2020 1:09:00 PM,288.0257,288.3,287.94,288.3,3800,71
11/17/2020 1:10:00 PM,288.3,288.5,288.3,288.4201,9700,77
11/17/2020 1:11:00 PM,288.4201,288.58,288.34,288.53,7300,78
11/17/2020 1:12:00 PM,288.53,288.53,287.9,287.975,7000,69
11/17/2020 1:13:00 PM,287.975,287.975,287.6785,287.865,5100,67
11/17/2020 1:14:00 PM,287.95,287.95,287.73,287.73,3200,66
11/17/2020 1:15:00 PM,287.685,287.91,287.65,287.825,3500,60
11/17/2020 1:16:00 PM,287.825,287.88,287.74,287.83,1700,46
11/17/2020 1:17:00 PM,287.83,288.12,287.83,288.12,2300,26
11/17/2020 1:18:00 PM,288.12,288.32,288.12,288.32,4900,4
11/17/2020 1:19:00 PM,288.245,288.245,288.135,288.135,3300,11
11/17/2020 1:20:00 PM,288.135,288.48,288.135,288.47,4100,3
11/17/2020 1:21:00 PM,288.47,288.6227,288.47,288.52,2400,7
11/17/2020 1:22:00 PM,288.52,288.52,288.32,288.425,4700,-5
11/17/2020 1:23:00 PM,288.6199,288.63,288.2691,288.54,3100,-8
11/17/2020 1:24:00 PM,288.54,288.95,288.54,288.85,7700,-2
11/17/2020 1:25:00 PM,288.9,289.08,288.68,288.94,9800,10
11/17/2020 1:26:00 PM,288.92,289.0799,288.78,288.925,1200,17
11/17/2020 1:27:00 PM,288.925,289.12,288.925,289.12,4400,13
11/17/2020 1:28:00 PM,289.12,289.14,288.9581,289.0077,1700,31
11/17/2020 1:29:00 PM,289.0077,289.22,289,289.1402,5700,41
11/17/2020 1:30:00 PM,289.02,289.64,288.97,289.475,7700,56
11/17/2020 1:31:00 PM,289.475,289.7,289.475,289.65,6500,64
11/17/2020 1:32:00 PM,289.65,289.6799,289.205,289.295,5200,48
11/17/2020 1:33:00 PM,289.48,289.55,289.068,289.215,1900,59
11/17/2020 1:34:00 PM,289.4,289.84,288.99,289.53,10100,70
11/17/2020 1:35:00 PM,289.53,289.76,289.53,289.58,4800,69
11/17/2020 1:36:00 PM,289.58,289.69,289.1188,289.245,4100,68
11/17/2020 1:37:00 PM,289.245,289.42,289.2189,289.42,4600,69
11/17/2020 1:38:00 PM,289.42,289.42,289.26,289.39,2200,78
11/17/2020 1:39:00 PM,289.34,289.3586,289.25,289.25,2300,86
11/17/2020 1:40:00 PM,289.25,289.64,289.25,289.5693,4200,76
11/17/2020 1:41:00 PM,289.575,289.64,289.44,289.535,4200,65
11/17/2020 1:42:00 PM,289.535,289.535,289.42,289.52,2600,62
11/17/2020 1:43:00 PM,289.52,289.62,289.52,289.6,2300,54
11/17/2020 1:44:00 PM,289.565,289.6,289.53,289.6,1200,51
11/17/2020 1:45:00 PM,289.6,289.8866,289.54,289.835,6800,54
11/17/2020 1:46:00 PM,289.835,289.95,289.69,289.755,9100,31
11/17/2020 1:47:00 PM,289.78,289.86,289.75,289.79,4400,25
11/17/2020 1:48:00 PM,289.87,289.9,289.71,289.86,3500,21
11/17/2020 1:49:00 PM,289.86,289.86,289.41,289.73,5100,13
11/17/2020 1:50:00 PM,289.73,289.84,289.73,289.84,3200,-4
11/17/2020 1:51:00 PM,289.84,289.93,289.81,289.855,2000,-13
11/17/2020 1:52:00 PM,289.855,289.99,289.855,289.885,3000,-14
11/17/2020 1:53:00 PM,289.885,290.36,289.885,290.22,17400,19
11/17/2020 1:54:00 PM,290.28,290.28,290.05,290.13,4000,14
11/17/2020 1:55:00 PM,290.13,290.58,290.13,290.48,6700,11
11/17/2020 1:56:00 PM,290.48,290.6,289.86,290.25,17100,-37
11/17/2020 1:57:00 PM,290.14,290.31,290.0701,290.255,2100,-57
11/17/2020 1:58:00 PM,290.2,290.27,290.03,290.2153,5000,-60
11/17/2020 1:59:00 PM,290.2153,290.31,290.04,290.28,5800,-53
11/17/2020 2:00:00 PM,290.28,290.505,290.28,290.505,3500,-58
11/17/2020 2:01:00 PM,290.47,290.51,290.4,290.49,7500,-59
11/17/2020 2:02:00 PM,290.49,290.67,290.46,290.67,5600,-54
11/17/2020 2:03:00 PM,290.67,290.715,290.51,290.715,5100,-53
11/17/2020 2:04:00 PM,290.715,290.99,290.715,290.91,7400,-47
11/17/2020 2:05:00 PM,290.945,291.005,290.685,290.82,8400,-57
11/17/2020 2:06:00 PM,290.68,290.78,290.54,290.6618,3000,-32
11/17/2020 2:07:00 PM,290.6618,290.75,290.64,290.685,3800,-31
11/17/2020 2:08:00 PM,290.685,291.14,290.685,291.14,8500,-19
11/17/2020 2:09:00 PM,291.14,291.47,291.14,291.43,4000,-43
11/17/2020 2:10:00 PM,291.43,291.5,291.295,291.295,10400,-65
11/17/2020 2:11:00 PM,291.275,291.35,291.275,291.35,2700,-72
11/17/2020 2:12:00 PM,291.3419,291.695,291.3419,291.695,8400,-36
11/17/2020 2:13:00 PM,291.695,291.74,291.6602,291.6969,4500,-33
11/17/2020 2:14:00 PM,291.6969,292.08,291.68,291.9,10900,-2
11/17/2020 2:15:00 PM,291.9,292.21,291.78,292.21,5600,-1
11/17/2020 2:16:00 PM,292.21,292.21,291.775,291.895,9100,-34
11/17/2020 2:17:00 PM,291.895,292.05,291.89,292.04,4400,-12
11/17/2020 2:18:00 PM,292.04,292.21,292.04,292.1895,7100,-9
11/17/2020 2:19:00 PM,292.1895,292.305,292.11,292.11,5800,-25
11/17/2020 2:20:00 PM,292.11,292.33,292.1,292.175,3500,-32
11/17/2020 2:21:00 PM,292.175,292.44,292.13,292.175,5200,-14
11/17/2020 2:22:00 PM,292.145,292.37,292.1,292.265,3700,2
11/17/2020 2:23:00 PM,292.265,292.5,292.265,292.4,7100,7
11/17/2020 2:24:00 PM,292.4,292.6225,292.35,292.6225,6300,4
11/17/2020 2:25:00 PM,292.6225,293.14,292.6225,292.99,15400,33
11/17/2020 2:26:00 PM,292.8569,293.1,292.67,293.06,18200,90
11/17/2020 2:27:00 PM,293.06,293.48,293.06,293.48,7800,96
11/17/2020 2:28:00 PM,293.48,293.75,293.3,293.7,8400,100
11/17/2020 2:29:00 PM,293.7,293.97,293.51,293.75,14900,100
11/17/2020 2:30:00 PM,293.75,293.97,293.49,293.67,17100,28
11/17/2020 2:31:00 PM,293.67,293.78,293.49,293.64,10100,-13
11/17/2020 2:32:00 PM,293.64,294,293.5174,294,11600,22
11/17/2020 2:33:00 PM,294,294.3,293.9,294.14,7000,32
11/17/2020 2:34:00 PM,294.14,294.27,293.91,293.93,4400,19
11/17/2020 2:35:00 PM,293.93,294.06,293.2,293.3,8500,-3
11/17/2020 2:36:00 PM,293.3,293.43,293.0171,293.105,2900,33
11/17/2020 2:37:00 PM,293.055,293.055,292.85,292.93,9400,30
11/17/2020 2:38:00 PM,292.93,293.34,292.93,293.24,5900,29
11/17/2020 2:39:00 PM,293.24,293.29,293.14,293.195,7300,39
11/17/2020 2:40:00 PM,293.195,293.54,293.195,293.54,5700,34
11/17/2020 2:41:00 PM,293.54,293.72,293.445,293.72,6100,14
11/17/2020 2:42:00 PM,293.72,293.78,293.63,293.67,9200,-5
11/17/2020 2:43:00 PM,293.665,293.67,293.34,293.46,5900,2
11/17/2020 2:44:00 PM,293.46,293.6036,293.4166,293.445,3300,11
11/17/2020 2:45:00 PM,293.445,293.78,293.42,293.64,5100,-16
11/17/2020 2:46:00 PM,293.64,293.75,293.52,293.64,5900,3
11/17/2020 2:47:00 PM,293.64,293.77,293.64,293.65,4300,0
11/17/2020 2:48:00 PM,293.65,294.19,293.59,294.171,13300,10
11/17/2020 2:49:00 PM,294.17,294.34,294.11,294.255,11800,24
11/17/2020 2:50:00 PM,294.255,294.34,294.18,294.325,4800,15
11/17/2020 2:51:00 PM,294.47,294.6,293.98,294.155,7100,16
11/17/2020 2:52:00 PM,294.115,294.115,293.4319,293.705,6900,8
11/17/2020 2:53:00 PM,293.705,294.045,293.6825,294.0036,8600,17
11/17/2020 2:54:00 PM,294.11,294.11,293.84,293.885,7300,18
11/17/2020 2:55:00 PM,293.885,293.965,293.81,293.85,4100,25
11/17/2020 2:56:00 PM,293.85,294.17,293.775,294.12,2600,16
11/17/2020 2:57:00 PM,294.005,294.33,294.005,294.115,5900,19
11/17/2020 2:58:00 PM,294.115,294.13,293.855,294.13,2400,11
11/17/2020 2:59:00 PM,294.13,294.13,293.755,293.755,4300,16
11/17/2020 3:00:00 PM,293.755,293.76,293.67,293.745,2800,19
