Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,24.01,24.3,23.95,23.97,80100,
11/17/2020 10:32:00 AM,23.93,24.0468,23.57,23.935,104300,-13
11/17/2020 10:33:00 AM,23.8701,23.9999,23.8701,23.92,9700,-16
11/17/2020 10:34:00 AM,23.92,24.13,23.9006,24.0991,15600,-17
11/17/2020 10:35:00 AM,24.0694,24.19,24.06,24.15,29000,-14
11/17/2020 10:36:00 AM,24.15,24.2,24.0738,24.182,8400,-15
11/17/2020 10:37:00 AM,24.19,24.22,24.1,24.16,12700,-17
11/17/2020 10:38:00 AM,24.175,24.34,24.175,24.2737,31600,-12
11/17/2020 10:39:00 AM,24.2737,24.34,24.23,24.23,19800,-15
11/17/2020 10:40:00 AM,24.23,24.35,24.21,24.305,28600,-11
11/17/2020 10:41:00 AM,24.305,24.35,24.2,24.2,23300,-14
11/17/2020 10:42:00 AM,24.2,24.2108,24.01,24.16,14800,-15
11/17/2020 10:43:00 AM,24.16,24.16,23.96,24.01,19300,-17
11/17/2020 10:44:00 AM,24.01,24.07,23.9,24.01,37700,-16
11/17/2020 10:45:00 AM,24.01,24.03,23.75,23.8441,26600,-19
11/17/2020 10:46:00 AM,23.8441,23.9,23.61,23.7794,37000,-24
11/17/2020 10:47:00 AM,23.78,23.935,23.78,23.935,9100,-28
11/17/2020 10:48:00 AM,23.935,24.08,23.89,24.0318,14200,-7
11/17/2020 10:49:00 AM,24.015,24.09,24,24.04,9400,-17
11/17/2020 10:50:00 AM,24.04,24.09,24.04,24.07,4100,-25
11/17/2020 10:51:00 AM,24.07,24.12,24.0664,24.12,20500,-27
11/17/2020 10:52:00 AM,24.12,24.2,24.05,24.0501,15700,-21
11/17/2020 10:53:00 AM,24.05,24.06,23.2001,23.6899,227600,-100
11/17/2020 10:54:00 AM,23.6899,23.69,23.33,23.49,56500,-100
11/17/2020 10:55:00 AM,23.49,23.78,23.47,23.77,75500,-91
11/17/2020 10:56:00 AM,23.77,23.7903,23.54,23.61,38400,-82
11/17/2020 10:57:00 AM,23.61,23.85,23.61,23.85,38000,-86
11/17/2020 10:58:00 AM,23.85,23.85,23.69,23.74,17800,-86
11/17/2020 10:59:00 AM,23.75,23.7771,23.64,23.6999,12900,-76
11/17/2020 11:00:00 AM,23.6999,23.6999,23.6,23.65,14400,-64
11/17/2020 11:01:00 AM,23.645,23.76,23.62,23.7456,35000,-69
11/17/2020 11:02:00 AM,23.76,23.95,23.7212,23.945,13700,-76
11/17/2020 11:03:00 AM,23.945,23.98,23.86,23.945,18700,-73
11/17/2020 11:04:00 AM,23.945,23.98,23.945,23.9667,12500,-80
11/17/2020 11:05:00 AM,23.96,23.98,23.8,23.85,11000,-52
11/17/2020 11:06:00 AM,23.85,23.9409,23.84,23.9409,11000,-54
11/17/2020 11:07:00 AM,23.9409,23.96,23.84,23.9,9800,-40
11/17/2020 11:08:00 AM,23.9,23.9,23.78,23.805,12900,-32
11/17/2020 11:09:00 AM,23.805,23.9,23.8,23.8298,9200,19
11/17/2020 11:10:00 AM,23.8298,23.94,23.8298,23.86,20000,28
11/17/2020 11:11:00 AM,23.86,23.94,23.85,23.92,7700,5
11/17/2020 11:12:00 AM,23.9,24.01,23.9,24.01,35100,23
11/17/2020 11:13:00 AM,24.01,24.1499,23.96,23.96,20900,12
11/17/2020 11:14:00 AM,23.9998,24.08,23.98,23.9978,10400,11
11/17/2020 11:15:00 AM,23.9978,24.015,23.93,23.965,9600,13
11/17/2020 11:16:00 AM,23.965,24.08,23.965,24.02,23800,17
11/17/2020 11:17:00 AM,24.03,24.05,24,24.025,6900,8
11/17/2020 11:18:00 AM,24.025,24.025,23.95,23.96,11300,9
11/17/2020 11:19:00 AM,23.96,24,23.76,23.8,13400,9
11/17/2020 11:20:00 AM,23.83,23.96,23.8,23.9097,12400,9
11/17/2020 11:21:00 AM,23.9097,23.91,23.82,23.8271,6300,12
11/17/2020 11:22:00 AM,23.8718,23.95,23.86,23.95,7600,10
11/17/2020 11:23:00 AM,23.95,23.97,23.9216,23.9699,4200,5
11/17/2020 11:24:00 AM,23.9699,23.9699,23.82,23.89,18400,0
11/17/2020 11:25:00 AM,23.92,23.92,23.855,23.875,3300,8
11/17/2020 11:26:00 AM,23.875,23.88,23.69,23.7417,40900,-10
11/17/2020 11:27:00 AM,23.7417,23.7417,23.58,23.58,14300,-8
11/17/2020 11:28:00 AM,23.58,23.675,23.57,23.675,7100,-23
11/17/2020 11:29:00 AM,23.675,23.6999,23.64,23.645,4100,-14
11/17/2020 11:30:00 AM,23.655,23.72,23.63,23.71,11500,-14
11/17/2020 11:31:00 AM,23.7045,23.81,23.67,23.7531,21900,-10
11/17/2020 11:32:00 AM,23.7531,23.86,23.7101,23.845,8100,-16
11/17/2020 11:33:00 AM,23.845,23.845,23.75,23.79,7700,-11
11/17/2020 11:34:00 AM,23.8,23.8298,23.75,23.8,3300,-17
11/17/2020 11:35:00 AM,23.8,23.84,23.8,23.815,2700,-20
11/17/2020 11:36:00 AM,23.815,23.84,23.77,23.77,5300,-17
11/17/2020 11:37:00 AM,23.77,23.85,23.769,23.775,5600,-22
11/17/2020 11:38:00 AM,23.755,23.755,23.6912,23.705,29200,-31
11/17/2020 11:39:00 AM,23.705,23.79,23.69,23.736,31300,-16
11/17/2020 11:40:00 AM,23.75,23.755,23.71,23.755,2900,-20
11/17/2020 11:41:00 AM,23.765,23.81,23.72,23.75,25200,-32
11/17/2020 11:42:00 AM,23.77,23.84,23.75,23.821,35900,-7
11/17/2020 11:43:00 AM,23.8283,23.84,23.8,23.81,19100,-10
11/17/2020 11:44:00 AM,23.81,23.8299,23.81,23.82,4800,-12
11/17/2020 11:45:00 AM,23.82,23.83,23.81,23.82,4800,-22
11/17/2020 11:46:00 AM,23.83,23.83,23.63,23.7799,22400,-25
11/17/2020 11:47:00 AM,23.7799,23.7799,23.71,23.7421,11500,-22
11/17/2020 11:48:00 AM,23.74,23.7599,23.728,23.73,2800,-14
11/17/2020 11:49:00 AM,23.73,23.75,23.62,23.63,18600,-17
11/17/2020 11:50:00 AM,23.63,23.66,23.41,23.475,45000,-25
11/17/2020 11:51:00 AM,23.48,23.67,23.48,23.67,13600,-22
11/17/2020 11:52:00 AM,23.67,23.75,23.58,23.58,10200,-21
11/17/2020 11:53:00 AM,23.58,23.61,23.555,23.6,5300,-22
11/17/2020 11:54:00 AM,23.6,23.69,23.6,23.65,12500,-23
11/17/2020 11:55:00 AM,23.65,23.6978,23.609,23.6445,19200,-33
