Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,20.81,20.89,20.81,20.875,14900,
11/17/2020 10:32:00 AM,20.88,20.88,20.86,20.87,3600,-4
11/17/2020 10:33:00 AM,20.86,20.875,20.85,20.85,6600,4
11/17/2020 10:34:00 AM,20.85,20.86,20.85,20.85,2500,5
11/17/2020 10:35:00 AM,20.85,20.9,20.85,20.88,5800,13
11/17/2020 10:36:00 AM,20.88,20.88,20.83,20.86,5100,6
11/17/2020 10:37:00 AM,20.865,20.9,20.865,20.89,1600,7
11/17/2020 10:38:00 AM,20.9,20.9,20.87,20.88,4600,1
11/17/2020 10:39:00 AM,20.88,20.88,20.84,20.87,9200,-10
11/17/2020 10:40:00 AM,20.87,20.89,20.87,20.89,2500,-9
11/17/2020 10:41:00 AM,20.89,20.925,20.89,20.925,6000,-3
11/17/2020 10:42:00 AM,20.925,20.925,20.925,20.925,0,-3
11/17/2020 10:43:00 AM,20.935,20.95,20.92,20.95,4100,0
11/17/2020 10:44:00 AM,20.95,20.95,20.95,20.95,0,1
11/17/2020 10:45:00 AM,20.95,20.95,20.91,20.91,1100,2
11/17/2020 10:46:00 AM,20.93,20.93,20.93,20.93,200,-1
11/17/2020 10:47:00 AM,20.93,20.93,20.9,20.9,1600,-28
11/17/2020 10:48:00 AM,20.9,20.9,20.9,20.9,200,-30
11/17/2020 10:49:00 AM,20.88,20.88,20.88,20.88,500,-3
11/17/2020 10:50:00 AM,20.87,20.87,20.87,20.87,1000,6
11/17/2020 10:51:00 AM,20.87,20.9,20.86,20.9,11300,38
11/17/2020 10:52:00 AM,20.91,20.91,20.88,20.885,7000,29
11/17/2020 10:53:00 AM,20.885,20.885,20.885,20.885,0,42
11/17/2020 10:54:00 AM,20.885,20.885,20.885,20.885,100,46
11/17/2020 10:55:00 AM,20.885,20.885,20.885,20.885,0,78
11/17/2020 10:56:00 AM,20.885,20.885,20.86,20.86,1600,98
11/17/2020 10:57:00 AM,20.86,20.86,20.79,20.79,1400,85
11/17/2020 10:58:00 AM,20.79,20.79,20.79,20.79,300,93
11/17/2020 10:59:00 AM,20.79,20.815,20.79,20.815,1000,66
11/17/2020 11:00:00 AM,20.815,20.815,20.78,20.795,2200,49
11/17/2020 11:01:00 AM,20.795,20.795,20.78,20.78,100,55
11/17/2020 11:02:00 AM,20.78,20.78,20.78,20.78,200,68
11/17/2020 11:03:00 AM,20.8,20.82,20.79,20.79,326400,100
11/17/2020 11:04:00 AM,20.79,20.8,20.78,20.8,3100,100
11/17/2020 11:05:00 AM,20.8,20.8,20.784,20.784,2900,100
11/17/2020 11:06:00 AM,20.8,20.85,20.8,20.85,21100,100
11/17/2020 11:07:00 AM,20.85,20.89,20.85,20.89,600,100
11/17/2020 11:08:00 AM,20.88,20.89,20.88,20.89,2200,100
11/17/2020 11:09:00 AM,20.89,20.9,20.865,20.88,7600,100
11/17/2020 11:10:00 AM,20.88,20.91,20.88,20.91,300,100
11/17/2020 11:11:00 AM,20.895,20.91,20.895,20.91,34900,100
11/17/2020 11:12:00 AM,20.91,20.96,20.91,20.96,7500,100
11/17/2020 11:13:00 AM,20.96,21,20.96,20.975,18200,100
11/17/2020 11:14:00 AM,20.975,20.975,20.94,20.95,13700,100
11/17/2020 11:15:00 AM,20.96,20.96,20.93,20.935,3000,100
11/17/2020 11:16:00 AM,20.935,20.935,20.93,20.93,300,100
11/17/2020 11:17:00 AM,20.93,20.93,20.92,20.93,300,100
11/17/2020 11:18:00 AM,20.93,20.94,20.93,20.94,300,100
11/17/2020 11:19:00 AM,20.94,20.94,20.88,20.88,1100,23
11/17/2020 11:20:00 AM,20.885,20.9,20.88,20.9,400,18
11/17/2020 11:21:00 AM,20.87,20.88,20.83,20.88,4700,15
11/17/2020 11:22:00 AM,20.88,20.9,20.87,20.88,1800,-5
