Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,28.93,28.98,28.93,28.98,200,
11/17/2020 10:32:00 AM,28.98,28.98,28.76,28.94,1400,-19
11/17/2020 10:33:00 AM,28.82,28.94,28.82,28.8802,3300,13
11/17/2020 10:34:00 AM,28.9,29.125,28.82,29.09,10500,32
11/17/2020 10:35:00 AM,29.09,29.09,29.09,29.09,100,39
11/17/2020 10:36:00 AM,29.17,29.24,29.1,29.2081,1400,44
11/17/2020 10:37:00 AM,29.2081,29.2081,28.92,28.92,1600,41
11/17/2020 10:38:00 AM,28.92,28.92,28.92,28.92,0,47
11/17/2020 10:39:00 AM,28.92,29.01,28.92,29.01,200,47
11/17/2020 10:40:00 AM,29.05,29.05,29.05,29.05,200,48
11/17/2020 10:41:00 AM,29.05,29.05,29.05,29.05,100,52
11/17/2020 10:42:00 AM,29.05,29.05,28.92,28.92,100,58
11/17/2020 10:43:00 AM,28.92,29.11,28.92,29.11,300,57
11/17/2020 10:44:00 AM,29.11,29.3,29.11,29.3,2200,60
11/17/2020 10:45:00 AM,29.3,29.3,29.3,29.3,100,64
11/17/2020 10:46:00 AM,29.3,29.49,29.3,29.49,400,63
11/17/2020 10:47:00 AM,29.28,29.41,29.28,29.41,300,55
11/17/2020 10:48:00 AM,29.41,29.41,29.41,29.41,100,65
11/17/2020 10:49:00 AM,29.41,29.5,29.28,29.28,3500,39
11/17/2020 10:50:00 AM,29.28,29.28,28.98,29.03,6200,-100
11/17/2020 10:51:00 AM,29.02,29.12,28.91,28.95,2400,-100
11/17/2020 10:52:00 AM,28.95,28.95,28.95,28.95,0,-100
11/17/2020 10:53:00 AM,28.95,28.95,28.95,28.95,100,-100
11/17/2020 10:54:00 AM,29.03,29.03,29.03,29.03,100,-100
11/17/2020 10:55:00 AM,28.95,29.025,28.94,28.94,1500,-100
11/17/2020 10:56:00 AM,28.95,29.08,28.94,28.96,5800,-32
11/17/2020 10:57:00 AM,28.96,28.96,28.96,28.96,100,-33
11/17/2020 10:58:00 AM,28.96,29.03,28.96,28.96,200,-55
11/17/2020 10:59:00 AM,28.96,28.96,28.96,28.96,0,-38
11/17/2020 11:00:00 AM,28.96,28.97,28.96,28.96,500,-35
11/17/2020 11:01:00 AM,28.96,28.96,28.96,28.96,100,-34
11/17/2020 11:02:00 AM,29.025,29.09,29.025,29.025,300,-58
11/17/2020 11:03:00 AM,29.025,29.41,28.86,29.29,11000,69
11/17/2020 11:04:00 AM,29.375,29.38,29.35,29.3586,700,19
11/17/2020 11:05:00 AM,29.25,29.3,29.25,29.3,500,81
11/17/2020 11:06:00 AM,29.3,29.3,29.3,29.3,0,100
11/17/2020 11:07:00 AM,29.3,29.46,29.3,29.355,1000,100
11/17/2020 11:08:00 AM,29.3551,29.405,29.34,29.405,600,100
11/17/2020 11:09:00 AM,29.405,29.49,29.405,29.49,100,100
11/17/2020 11:10:00 AM,29.26,29.26,29.26,29.26,200,100
11/17/2020 11:11:00 AM,29.375,29.375,29.26,29.27,3200,100
11/17/2020 11:12:00 AM,29.27,29.27,29.25,29.27,200,100
11/17/2020 11:13:00 AM,29.27,29.27,29.27,29.27,200,100
11/17/2020 11:14:00 AM,29.27,29.27,29.27,29.27,100,100
11/17/2020 11:15:00 AM,29.3052,29.3052,29.18,29.27,500,100
11/17/2020 11:16:00 AM,29.27,29.27,29.27,29.27,200,100
11/17/2020 11:17:00 AM,29.265,29.265,29.265,29.265,100,100
11/17/2020 11:18:00 AM,29.265,29.265,29.265,29.265,100,100
11/17/2020 11:19:00 AM,29.26,29.265,29.26,29.265,200,72
11/17/2020 11:20:00 AM,29.18,29.255,29.18,29.255,500,74
11/17/2020 11:21:00 AM,29.255,29.255,29.255,29.255,300,80
11/17/2020 11:22:00 AM,29.255,29.255,29.07,29.17,2900,22
11/17/2020 11:23:00 AM,29.17,29.17,28.93,29.03,1700,12
11/17/2020 11:24:00 AM,29.05,29.05,28.93,28.93,400,11
11/17/2020 11:25:00 AM,28.93,28.93,28.93,28.93,0,22
11/17/2020 11:26:00 AM,28.93,28.93,28.93,28.93,100,21
11/17/2020 11:27:00 AM,28.93,29.04,28.93,29.04,1200,-34
11/17/2020 11:28:00 AM,29.04,29.04,29.04,29.04,0,-33
11/17/2020 11:29:00 AM,29.04,29.04,28.97,28.97,200,-28
11/17/2020 11:30:00 AM,29.045,29.045,28.95,28.95,1000,-38
11/17/2020 11:31:00 AM,29.13,29.13,29.13,29.13,500,-25
11/17/2020 11:32:00 AM,29.13,29.13,29.13,29.13,0,-25
11/17/2020 11:33:00 AM,29.13,29.13,29.13,29.13,0,-31
11/17/2020 11:34:00 AM,28.95,29.085,28.95,29.085,200,-26
11/17/2020 11:35:00 AM,29.085,29.105,29,29.105,500,-20
11/17/2020 11:36:00 AM,29.19,29.19,29.0148,29.0148,600,-21
11/17/2020 11:37:00 AM,29.0148,29.0148,29.0148,29.0148,0,-19
11/17/2020 11:38:00 AM,29.0148,29.15,29.0148,29.15,600,3
11/17/2020 11:39:00 AM,29.15,29.25,29.15,29.18,3800,79
11/17/2020 11:40:00 AM,29.18,29.18,29.18,29.18,100,80
11/17/2020 11:41:00 AM,29.18,29.25,29.18,29.25,200,62
11/17/2020 11:42:00 AM,29.25,29.25,29.18,29.18,200,67
11/17/2020 11:43:00 AM,29.18,29.18,29.18,29.18,0,68
11/17/2020 11:44:00 AM,29.18,29.18,29.18,29.18,200,71
11/17/2020 11:45:00 AM,29.18,29.18,29.18,29.18,0,64
11/17/2020 11:46:00 AM,29.18,29.18,29.18,29.18,100,80
11/17/2020 11:47:00 AM,29.18,29.18,29.18,29.18,100,98
11/17/2020 11:48:00 AM,29.18,29.25,29.18,29.25,200,69
11/17/2020 11:49:00 AM,29.25,29.25,29.18,29.18,200,74
11/17/2020 11:50:00 AM,29.18,29.18,29.18,29.18,0,75
11/17/2020 11:51:00 AM,29.18,29.18,29.18,29.18,0,84
11/17/2020 11:52:00 AM,29.18,29.18,29.18,29.18,0,97
11/17/2020 11:53:00 AM,29.18,29.18,29.18,29.18,0,100
11/17/2020 11:54:00 AM,29.18,29.345,29.18,29.26,9300,100
11/17/2020 11:55:00 AM,29.26,29.26,29.26,29.26,200,100
11/17/2020 11:56:00 AM,29.26,29.26,29.26,29.26,0,100
11/17/2020 11:57:00 AM,29.26,29.26,29.26,29.26,0,100
11/17/2020 11:58:00 AM,29.4,29.4,29.4,29.4,100,100
11/17/2020 11:59:00 AM,29.4,29.4,29.4,29.4,100,100
11/17/2020 12:00:00 PM,29.4,29.4,29.4,29.4,0,100
11/17/2020 12:01:00 PM,29.44,29.44,29.44,29.44,100,100
11/17/2020 12:02:00 PM,29.365,29.63,29.365,29.555,5700,100
11/17/2020 12:03:00 PM,29.555,29.555,29.555,29.555,0,100
11/17/2020 12:04:00 PM,29.555,29.555,29.555,29.555,0,100
11/17/2020 12:05:00 PM,29.54,29.6,29.5,29.5,300,100
11/17/2020 12:06:00 PM,29.5,29.5,29.5,29.5,0,100
11/17/2020 12:07:00 PM,29.535,29.535,29.535,29.535,100,100
11/17/2020 12:08:00 PM,29.535,29.61,29.535,29.535,900,100
11/17/2020 12:09:00 PM,29.535,29.59,29.535,29.59,200,100
11/17/2020 12:10:00 PM,29.53,29.53,29.53,29.53,600,82
11/17/2020 12:11:00 PM,29.46,29.6,29.46,29.53,800,75
11/17/2020 12:12:00 PM,29.52,29.52,29.52,29.52,100,91
11/17/2020 12:13:00 PM,29.52,29.58,29.51,29.58,1000,92
11/17/2020 12:14:00 PM,29.58,29.58,29.58,29.58,0,100
11/17/2020 12:15:00 PM,29.58,29.79,29.55,29.78,2100,100
11/17/2020 12:16:00 PM,29.79,29.79,29.61,29.61,1100,100
11/17/2020 12:17:00 PM,29.61,29.71,29.61,29.71,200,90
11/17/2020 12:18:00 PM,29.757,29.7904,29.757,29.7904,300,12
11/17/2020 12:19:00 PM,29.7904,29.7904,29.54,29.64,1400,-8
11/17/2020 12:20:00 PM,29.64,29.64,29.64,29.64,100,-8
11/17/2020 12:21:00 PM,29.64,29.64,29.64,29.64,0,-19
11/17/2020 12:22:00 PM,29.64,29.64,29.49,29.57,2500,-58
