Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,33.6,33.84,33.6,33.7518,43100,
11/17/2020 10:32:00 AM,33.7518,33.77,33.5501,33.715,13400,-5
11/17/2020 10:33:00 AM,33.715,33.8,33.675,33.675,16100,1
11/17/2020 10:34:00 AM,33.675,33.7,33.6,33.6038,3800,0
11/17/2020 10:35:00 AM,33.6038,33.68,33.44,33.441,7000,-2
11/17/2020 10:36:00 AM,33.441,33.6491,33.43,33.6491,8900,2
11/17/2020 10:37:00 AM,33.6491,33.66,33.58,33.66,2500,2
11/17/2020 10:38:00 AM,33.66,33.66,33.5726,33.66,4800,2
11/17/2020 10:39:00 AM,33.66,33.8,33.66,33.79,5200,5
11/17/2020 10:40:00 AM,33.78999,33.78999,33.57999,33.57999,4200,3
11/17/2020 10:41:00 AM,33.57999,33.64,33.50999,33.52999,3100,3
11/17/2020 10:42:00 AM,33.5,33.56,33.5,33.55,2700,3
11/17/2020 10:43:00 AM,33.55,33.55,33.4884,33.49,3600,2
11/17/2020 10:44:00 AM,33.53,33.53,33.35,33.3999,10400,-3
11/17/2020 10:45:00 AM,33.3999,33.51,33.33,33.51,5000,-2
11/17/2020 10:46:00 AM,33.51,33.535,33.51,33.535,2700,-2
11/17/2020 10:47:00 AM,33.47,33.505,33.4,33.4111,6000,-34
11/17/2020 10:48:00 AM,33.4111,33.43,33.35,33.38,1800,-20
11/17/2020 10:49:00 AM,33.37,33.45,33.37,33.43,1400,-14
11/17/2020 10:50:00 AM,33.43,33.45,33.4,33.4,1000,-8
11/17/2020 10:51:00 AM,33.4,33.445,33.38,33.445,1600,-10
11/17/2020 10:52:00 AM,33.445,33.445,33.35,33.35,3900,-18
11/17/2020 10:53:00 AM,33.35,33.39,33.34,33.37,1700,-21
11/17/2020 10:54:00 AM,33.37,33.42,33.355,33.42,1700,-24
11/17/2020 10:55:00 AM,33.38,33.39,33.37,33.3767,1700,-24
11/17/2020 10:56:00 AM,33.3767,33.3899,33.22,33.285,9700,-35
11/17/2020 10:57:00 AM,33.285,33.31,33.26,33.27,4300,-37
11/17/2020 10:58:00 AM,33.3299,33.3299,33.17,33.24,12000,-50
11/17/2020 10:59:00 AM,33.24,33.32,33.18,33.31,6800,-40
11/17/2020 11:00:00 AM,33.3151,33.3151,33.2886,33.2886,1400,-27
11/17/2020 11:01:00 AM,33.2886,33.3299,33.28,33.3299,3200,-30
11/17/2020 11:02:00 AM,33.3299,33.5699,33.329,33.5327,10300,-10
11/17/2020 11:03:00 AM,33.54,33.54,33.44,33.44,1700,-3
11/17/2020 11:04:00 AM,33.44,33.46,33.43,33.43,600,3
11/17/2020 11:05:00 AM,33.43,33.43,33.3624,33.3846,2400,11
11/17/2020 11:06:00 AM,33.3846,33.46,33.38,33.46,2200,1
11/17/2020 11:07:00 AM,33.46,33.5699,33.46,33.545,1400,-1
