Date,Open,High,Low,Close,Volume ,Balance Of Power
11/17/2020 10:31:00 AM,33.7468,33.8,33.73,33.79,7900,
11/17/2020 10:32:00 AM,33.8,33.85,33.71,33.85,32600,18
11/17/2020 10:33:00 AM,33.85,34,33.825,33.98,38300,27
11/17/2020 10:34:00 AM,33.9966,34.0099,33.91,33.9675,16300,22
11/17/2020 10:35:00 AM,33.9675,34.05,33.96,33.97,9200,26
11/17/2020 10:36:00 AM,33.97,34.0733,33.93,33.93,20900,17
11/17/2020 10:37:00 AM,33.935,33.935,33.78,33.8178,5100,18
11/17/2020 10:38:00 AM,33.8178,33.8998,33.81,33.87,6200,20
11/17/2020 10:39:00 AM,33.87,33.91,33.87,33.91,1800,19
11/17/2020 10:40:00 AM,33.91,33.93,33.8251,33.88,7200,18
11/17/2020 10:41:00 AM,33.88,33.95,33.88,33.93,2800,18
11/17/2020 10:42:00 AM,33.93,34.07,33.93,34.07,8600,19
11/17/2020 10:43:00 AM,34.04,34.1138,34.02,34.095,7200,20
11/17/2020 10:44:00 AM,34.095,34.095,33.98,33.9924,7200,19
11/17/2020 10:45:00 AM,33.9924,34.005,33.88,33.95,9100,16
11/17/2020 10:46:00 AM,33.95,34,33.94,33.94,2000,19
11/17/2020 10:47:00 AM,33.93,33.9363,33.88,33.88,2500,37
11/17/2020 10:48:00 AM,33.88,33.94,33.86,33.89,7600,12
11/17/2020 10:49:00 AM,33.89,33.97,33.89,33.97,3400,-24
11/17/2020 10:50:00 AM,33.97,33.99,33.96,33.9715,2700,-20
11/17/2020 10:51:00 AM,33.9715,33.9715,33.93,33.955,1900,-15
11/17/2020 10:52:00 AM,33.955,34.01,33.94,34.01,8400,6
11/17/2020 10:53:00 AM,34.01,34.01,33.97,34,1300,13
11/17/2020 10:54:00 AM,33.995,33.995,33.94,33.98,2900,15
11/17/2020 10:55:00 AM,33.98,33.98,33.88,33.88,5500,18
11/17/2020 10:56:00 AM,33.88,33.89,33.8,33.86,10900,12
11/17/2020 10:57:00 AM,33.86,33.8799,33.84,33.86,3200,16
11/17/2020 10:58:00 AM,33.86,33.8607,33.7701,33.81,5900,10
11/17/2020 10:59:00 AM,33.79,33.8047,33.74,33.7401,8200,-6
11/17/2020 11:00:00 AM,33.7401,33.7401,33.64,33.7149,6300,-7
11/17/2020 11:01:00 AM,33.7149,33.7515,33.7149,33.7515,400,-8
11/17/2020 11:02:00 AM,33.7515,33.778,33.71,33.71,2100,-7
11/17/2020 11:03:00 AM,33.71,33.71,33.6,33.635,3300,-8
11/17/2020 11:04:00 AM,33.635,33.6374,33.56,33.566,4000,-25
11/17/2020 11:05:00 AM,33.605,33.6563,33.58,33.6563,3900,-20
11/17/2020 11:06:00 AM,33.67,33.69,33.6466,33.65,3800,-26
11/17/2020 11:07:00 AM,33.65,33.69,33.65,33.67,1800,-25
11/17/2020 11:08:00 AM,33.67,33.79,33.67,33.76,4200,-32
11/17/2020 11:09:00 AM,33.76,33.86,33.75,33.79,3600,-33
11/17/2020 11:10:00 AM,33.79,33.79,33.68,33.695,3200,-32
11/17/2020 11:11:00 AM,33.716,33.7299,33.68,33.68,5400,-32
11/17/2020 11:12:00 AM,33.68,33.71,33.65,33.71,4600,-21
11/17/2020 11:13:00 AM,33.71,33.77,33.71,33.77,2700,-22
11/17/2020 11:14:00 AM,33.77,33.77,33.69,33.69,2400,-16
11/17/2020 11:15:00 AM,33.69,33.7322,33.69,33.7,2500,-11
11/17/2020 11:16:00 AM,33.7,33.87,33.7,33.87,8700,4
11/17/2020 11:17:00 AM,33.87,33.91,33.85,33.91,3800,8
11/17/2020 11:18:00 AM,33.9,33.98,33.9,33.9646,2700,3
11/17/2020 11:19:00 AM,33.9646,33.9646,33.925,33.95,3900,2
11/17/2020 11:20:00 AM,33.95,34.056,33.95,33.97,9400,11
11/17/2020 11:21:00 AM,33.97,34.04,33.96,34.02,4500,12
11/17/2020 11:22:00 AM,34.01,34.1,34,34.1,8200,28
11/17/2020 11:23:00 AM,34.1166,34.19,34.0738,34.17,9700,39
11/17/2020 11:24:00 AM,34.17,34.26,34.17,34.19,29700,71
11/17/2020 11:25:00 AM,34.1873,34.19,34.14,34.14,11900,36
11/17/2020 11:26:00 AM,34.16,34.16,34.06,34.1545,10800,48
11/17/2020 11:27:00 AM,34.18,34.27,34.18,34.25,9100,61
11/17/2020 11:28:00 AM,34.25,34.29,34.19,34.29,8800,68
11/17/2020 11:29:00 AM,34.3022,34.3022,34.26,34.26,3100,65
11/17/2020 11:30:00 AM,34.26,34.32,34.2565,34.26,5300,67
11/17/2020 11:31:00 AM,34.3,34.3,34.2,34.2,3900,64
11/17/2020 11:32:00 AM,34.215,34.31,34.215,34.29,7700,63
11/17/2020 11:33:00 AM,34.29,34.295,34.28,34.28,800,79
11/17/2020 11:34:00 AM,34.28,34.31,34.28,34.3,2800,78
11/17/2020 11:35:00 AM,34.3,34.37,34.288,34.35,5300,73
11/17/2020 11:36:00 AM,34.35,34.48,34.35,34.455,11700,75
